Sentence #,sylhet_word,bio_tag
Sentence: 2289,তোমার,O
,ফরিবারের,O
,আমার,O
,বাফর,B-REL
,লগে,O
,মাত,O
,মাততে,O
,চায়,O
Sentence: 2121,তুমিতাইন,O
,হরো,O
,ওখান,O
,তাকি,O
Sentence: 1259,মোর,O
,বিয়ার,O
,দুই,O
,মাসর,O
,কালে,O
,আব্বা,B-REL
,মারা,O
,গেছইন,O
Sentence: 2945,আগে,O
,জাউকা,O
Sentence: 21,হে,O
,এখন,O
,রাজশাহীত,B-LOC
,গেছে,O
,গিয়া,O
Sentence: 1481,তুমার,O
,এখ,O
,জরা,O
,হাসি,O
,দেখার,O
,লাগি,O
,বই,O
,রইছি,O
Sentence: 1096,বাড়ি,O
,থাকি,O
,ফুয়া,O
,দেখা,O
,শুরু,O
,কর্‌লা,O
Sentence: 3078,বিদেশ,B-LOC
,ঘুরাত,O
,যাওয়া,O
,আমার,O
,স্বপ্ন,O
Sentence: 1126,ক্লাস,O
,নাইনো,O
,আমরার,O
,পয়লা,O
,মাত,O
,অয়,O
,ফেসবুকো,B-ORG
Sentence: 358,আজকে,O
,গরীব,O
,দেকিয়া,O
,পৃথিবীত,B-LOC
,থাকিয়ার,O
,ধনী,O
,অইলে,O
,মঙ্গল,B-LOC
,গ্রহত,I-LOC
,থাকতাম,O
Sentence: 2892,আমি,O
,বাক্কা,O
,লম্বা,O
,না,O
Sentence: 3386,আমার,O
,ভালোবাসাত,O
,কিতার,O
,কমতি,O
,আছিলো,O
Sentence: 2938,আমার,O
,পাও,O
,বেদনা,O
,করের,O
Sentence: 146,আফনে,O
,কারুর,O
,জীবনো,O
,সুখ,O
,আনিয়া,O
,দিবা,O
,ভাবিয়া,O
,পেরেম,O
,করইন,O
Sentence: 3342,আমার,O
,খুব,O
,ভালা,O
,লাগে,O
Sentence: 2236,আমাদের,O
,ঘরের,O
,প্রতিটা,O
,রুম,O
,ফুল,B-OBJ
,দিয়া,O
,সাজিয়া,O
,রাখছি,O
Sentence: 2423,অউ,O
,ফুরি,O
,ইগুরে,O
,যেলা,O
,অউক,O
,তুকাইয়া,O
,বার,O
,করতে,O
,অইবো,O
Sentence: 1624,ঘর,O
,ওর,O
,মাঝে,O
,আলো,O
,বাতাস,O
,ওতো,O
,ঢুকতো,O
,ফারে,O
,না,O
Sentence: 2898,আমি,O
,হারি,O
,গেছি,O
Sentence: 1956,মন,O
,অইলো,O
,দেওয়ার,O
,লাগি,O
Sentence: 2648,হে,O
,হাসে,O
,না,O
Sentence: 239,হুরুতারে,O
,এখমাত্র,O
,তারার,O
,মার,B-REL
,কুলেউ,O
,মানায়,O
Sentence: 974,আমি,O
,আপেল,B-FOOD
,ভালা,O
,ফাই,O
Sentence: 774,লাল,B-COL
,রঙ,I-COL
,ওর,O
,শাড়িত,B-OBJ
,তোমারে,O
,বালা,O
,মানাইবো,O
Sentence: 3046,শুক্রবার,O
,আমরা,O
,গেছিলাম,O
Sentence: 2866,খাইতে,O
,ভালা,O
,লাগে,O
Sentence: 3114,বাক্কা,O
,ভালা,O
,লাগে,O
Sentence: 2844,তুমিতাইন,O
,জলদি,O
,উঠি,O
,যাইও,O
Sentence: 1507,সাড়ে,O
,চাইট্টাত,O
,হক্কল,O
,ওর,O
,মাঠ,B-LOC
,ও,O
,আওয়ার,O
,কথা,O
Sentence: 1102,হে,O
,তার,O
,বাফর,B-REL
,ডরে,O
,কুনো,O
,মাত,O
,মাততো,O
,ফারলো,O
,না,O
Sentence: 629,তুমিতাইন,O
,ওর,O
,মূল্যবান,O
,বক্তব্যর,O
,লাগি,O
,ধন্যবাদ,O
Sentence: 3472,আমি,O
,তোমার,O
,লাগি,O
,কিতা,O
,আনতাম,O
Sentence: 2397,আমার,O
,আব্বুয়ে,B-REL
,বড়,B-REL
,ভাইয়র,I-REL
,উফরে,O
,রাগ,O
,করছইন,O
Sentence: 1949,বহুতে,O
,আরো,O
,কইন,O
,যে,O
,বিয়া,O
,করলে,O
,মানুষ,O
,বুলে,O
,গাধা,O
,অই,O
,যাইন,O
Sentence: 3126,আমারে,O
,অফমান,O
,করে,O
Sentence: 20,হে,O
,সিলেট,B-LOC
,থাকি,O
,আমার,O
,লগে,O
,দেখা,O
,করাত,O
,আইছিল,O
Sentence: 32,আফনার,O
,পড়ালেখা,O
,খরা,O
,লাগবো,O
Sentence: 3461,দেইক্ষা,O
,কিলাম,O
,জানি,O
,লাগছে,O
Sentence: 320,আব্বার,B-REL
,মুখর,O
,দিকে,O
,চাইয়া,O
,কিলান,O
,এখটা,O
,শূন্যতা,O
,অনুভব,O
,খরলাম,O
Sentence: 2001,হে,O
,হখল,O
,সময়,O
,মিছা,O
,মাত,O
,মাততো,O
Sentence: 2412,আব্বুয়ে,B-REL
,বখলম,O
,ফুয়ার,O
,লগে,O
,বিয়া,O
,দিতা,O
,চাইছলা,O
Sentence: 378,মুই,O
,কিতা,O
,খালি,O
,এখটা,O
,জিনিস,O
,খইতাম,O
,ফারি,O
,নি,O
,দয়া,O
,খরি,O
Sentence: 1720,বাদে,O
,আমরা,O
,লাইব্রেরি,B-LOC
,দেখাত,O
,গেছলাম,O
Sentence: 1443,মোর,O
,লগে,O
,বাদুয়া,O
,ব্যবহার,O
,খরতে,O
,থাকলো,O
Sentence: 335,মোর,O
,ভালা,O
,লাগছে,O
,আফনার,O
,খতা,O
,পড়িয়া,O
Sentence: 2861,আমার,O
,সকালকু,O
,খাইতে,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 2956,আমার,O
,হলুদ,B-COL
,রং,I-COL
,পছন্দ,O
Sentence: 928,একগু,O
,বিলাই,B-ANI
,দরজার,B-OBJ
,ধারো,O
,বই,O
,রইছে,O
Sentence: 2890,আমি,O
,বাক্কা,O
,লম্বা,O
Sentence: 1595,তার,O
,ধারো,O
,বউত,O
,টেখা,B-OBJ
,আছে,O
Sentence: 2528,আমার,O
,মাত,O
,বুঝরে,O
,তুই,O
Sentence: 288,যারার,O
,লগে,O
,ভালা,O
,খাতির,O
,খালি,O
,তারারে,O
,পানি,B-FOOD
,দিবা,O
,আর,O
,খেউরে,O
,দিতা,O
,না,O
Sentence: 3073,আফনার,O
,বইনের,B-REL
,কিতা,O
,বিয়া,O
,অই,O
,গেছে,O
,নি,O
Sentence: 2171,আমার,O
,বন্ধু,B-REL
,বিদ্যালয়ের,B-LOC
,মাঠো,I-LOC
,ফতিদিন,O
,ক্রিকেট,O
,খেলইন,O
Sentence: 1832,জাম্বুরা,B-FOOD
,টানডা,O
,সর্দি,O
,তাফ,O
,সমস্যার,O
,লাগি,O
,খাইলে,O
,ভালা,O
,ফলাফল,O
,মিলে।,O
Sentence: 1415,ঢাকাত,B-LOC
,আইছি,O
,এসএসসি,O
,পরীক্ষা,O
,দিয়া,O
Sentence: 3255,আফনে,O
,বাঁইচ্চা,O
,আছইন,O
,নি,O
Sentence: 3364,কিতা,O
,করার,O
,আফনে,O
Sentence: 2406,ফুয়া,O
,ইগুয়ে,O
,দুই,O
,বছর,O
,পরে,O
,বিয়া,O
,করতো,O
,চায়,O
Sentence: 1835,খবুতর,B-ANI
,ফালতে,O
,বেশি,O
,জায়গা,O
,লাগে,O
,না,O
Sentence: 29,মুই,O
,তুমারে,O
,এর,O
,আগে,O
,কুনোদিন,O
,দেখছি,O
,না,O
Sentence: 3446,হে,O
,পরিবাররে,O
,যে,O
,ভালা,O
,ফায়,O
Sentence: 73,কুনতা,O
,বুঝতাম,O
,ফারলাম,O
,না,O
Sentence: 1535,যাওয়া,O
,আওয়ার,O
,আসল,O
,পথ,O
,আছিল,O
,নৌকা,B-OBJ
Sentence: 532,আমি,O
,ওউ,O
,হকল,O
,সময়,O
,কষ্ট,O
,পাই,O
,কিওর,O
,লাগি,O
Sentence: 2954,মানুষর,O
,দুই,O
,পুয়া,B-REL
,আছিল্,O
Sentence: 2314,গ্রামের,B-LOC
,বাড়ির,I-LOC
,এই,O
,ফুড়িটারে,O
,খুব,O
,ভালা,O
,লাগচিল,O
Sentence: 855,কোন,O
,মাইনষের,O
,উফ্রে,O
,একবার,O
,বিশ্বাস,O
,উঠি,O
,গেলে,O
,ওনো,O
,নাটক,O
,করিয়া,O
,আর,O
,বেশি,O
,দিন,O
,থাকা,O
,যায়,O
,না,O
Sentence: 1305,মোর,O
,বিয়া,O
,অইছে,O
,চাইর,O
,বৎসর,O
Sentence: 1900,বুইঝ্ঝা,O
,উঠতে,O
,ফারছিলাম,O
,না,O
,কিতা,O
,করমো,O
Sentence: 1269,কুনতা,O
,মাতলে,O
,তাইন,O
,অটা,O
,অইন্যভাবে,O
,লইয়া,O
,চিল্লানি,O
,লাগাইন,O
Sentence: 1152,ফুয়া,O
,এখ,O
,মাস,O
,আগে,O
,বাংলাদেশো,B-LOC
,আইয়া,O
,অউ,O
,ইদো,O
,তারার,O
,বিয়া,O
,অউয়ার,O
,কথা,O
Sentence: 831,মেকআপ,O
,কিলা,O
,ওইছে,O
Sentence: 395,তারা,O
,দূরই,O
,এখটা,O
,পাহাড়র,B-LOC
,বায়,O
,যাওয়ার,O
,পতো,O
,এখটা,O
,পুকোইর,B-LOC
,দেখলা,O
Sentence: 2472,দিন,O
,দিন,O
,মুই,O
,খুব,O
,অসুস্থ,O
,অই,O
,যাইরাম,O
Sentence: 941,আম,B-FOOD
,ওগু,O
,কে,O
,খাইছিল,O
Sentence: 2527,কিতা,O
,করবায়,O
,আমি,O
,যদি,O
,ঠিক,O
,থাকি,O
Sentence: 343,বাক্কা,O
,সুন্দর,O
,মাত,O
,মাতলা,O
Sentence: 1211,বাক্কাবার,O
,হখলে,O
,মাতিয়া,O
,বুঝাইতে,O
,চাইছইন,O
,যে,O
,কিতা,O
,সমস্যা,O
,কিন্তু,O
,সমাধান,O
,অইছে,O
,না,O
Sentence: 219,গানটা,O
,হুনিয়া,O
,চকুত,O
,পানি,O
,আইচ্চে,O
,হাছাউ,O
,বাক্কা,O
,ভালা,O
,লাগছে,O
Sentence: 1485,এলাকাত,B-LOC
,আগুন,O
,লাগি,O
,গেছ,O
Sentence: 1451,হে,O
,কিলা,O
,ফারলো,O
,অতো,O
,সফনো,O
,দেখানির,O
,বাদে,O
,মোরে,O
,অলা,O
,ঠগাইতো,O
Sentence: 589,এর,O
,তনে,O
,আমি,O
,ওউ,O
,দেখতে,O
,ভেশি,O
,সুন্দর,O
Sentence: 2992,আমার,O
,নীল,B-COL
,রং,I-COL
,পছন্দ,O
Sentence: 3086,অইলায়,O
,আমার,O
,জীবনের,O
,আলো,O
Sentence: 1911,তুমি,O
,দয়া,O
,খরি,O
,আমারে,O
,আর,O
,বিরক্ত,O
,খরিও,O
,না,O
Sentence: 2520,শিমুর,B-PER
,ধূসর,B-COL
,রং,I-COL
,পছন্দ,O
Sentence: 2555,মূল,O
,কথাত,O
,আও,O
Sentence: 2128,আমার,O
,বড়,B-REL
,বইনর,I-REL
,আইজ,O
,মন,O
,ভালা,O
,নায়,O
Sentence: 705,বৃষ্টির,O
,দিনও,O
,চা,B-FOOD
,খাইতে,O
,বালা,O
,লাগে,O
Sentence: 3382,আমি,O
,ও,O
,হকল,O
,সময়,O
,কষ্ট,O
,পাই,O
,কিওর,O
,লাগি,O
Sentence: 145,খেউ,O
,আফনার,O
,জীবনো,O
,সুখ,O
,আনিয়া,O
,দিবো,O
,ভাবিয়া,O
,কারো,O
,লগে,O
,পেরেমো,O
,জড়াইবা,O
,না,O
Sentence: 3324,আইজ,O
,ভাইরে,B-REL
,দেখলাম,O
Sentence: 2947,আমারে,O
,ডাকবা,O
,না,O
Sentence: 1422,মুই,O
,কিলান,O
,বুঝতাম,O
,যেন,O
,মানুষ,O
,ইতা,O
,সঠিক,O
,নায়,O
Sentence: 3009,ফুরিতা,O
,যে,O
,বেয়াদপ,O
Sentence: 2091,ওতো,O
,টেখা,B-OBJ
,কুয়াই,O
,ফাইমু,O
Sentence: 552,আমি,O
,তুমিতাইন,O
,ওর,O
,লগে,O
,পৃথিবী,B-LOC
,ঘুরতাম,O
,চাই,O
Sentence: 727,কবিতা,O
,পড়তে,O
,আমার,O
,বালাউ,O
,লাগে,O
Sentence: 2960,আমার,O
,সাদা,B-COL
,রং,I-COL
,পছন্দ,O
Sentence: 2530,তোমারে,O
,আমরা,O
,দেখিয়া,O
,নিমু,O
Sentence: 2097,আমারে,O
,ছাড়াউ,O
,বালা,O
,থাকো,O
Sentence: 2113,তাইন,O
,রাস্তার,B-LOC
,মাঝে,O
,দৌড়াইরা,O
Sentence: 569,আমরার,O
,পরিবার,O
,ও,O
,আম্মার,B-REL
,অবদান,O
,ওউ,O
,সব,O
,তাকি,O
,বেশি,O
,বলয়া,O
,আমি,O
,মনো,O
,করি,O
Sentence: 1446,পরিবার,O
,তুলিয়া,O
,গাইল,O
,দেয়,O
Sentence: 1342,মোর,O
,লগে,O
,তাইন,O
,আগে,O
,দেখা,O
,খরতা,O
Sentence: 2458,আব্বা,B-REL
,বলেছে,O
,বৃষ্টি,O
,অইলে,O
,বারান্দাত,O
,গাছে,O
,ফানি,B-FOOD
,দেওয়ার,O
,প্রয়োজন,O
,নাই,O
Sentence: 1005,হে,O
,খারো,O
,মাত,O
,মাতে,O
,না,O
,খারো,O
,বাসাত,O
,যায়,O
,না,O
Sentence: 600,আইজকাইল,O
,পড়ার,O
,চাপ,O
,বউত,O
,বেশি,O
Sentence: 646,পলিথিন,B-OBJ
,ওর,O
,ব্যবহার,O
,মারাত্মক,O
,অসুখ,O
,ওর,O
,সৃষ্টি,O
,করতো,O
,ফারে,O
Sentence: 1959,তুমার,O
,নাম,O
,ছাড়া,O
,মুই,O
,কুনতা,O
,লেখতাম,O
,ফারিয়ার,O
,না,O
Sentence: 1586,ঠিক,O
,ওইলো,O
,হকলে,O
,মিলিয়া,O
,যাইমু,O
Sentence: 1221,মোর,O
,ভাই,B-REL
,আমরার,O
,পুরা,O
,পরিবারর,O
,দেখাশুনা,O
,করে,O
Sentence: 554,তুমিতাইন,O
,ওর,O
,মাত,O
,হুনিয়া,O
,বাক্কা,O
,বালা,O
,লাগলো,O
Sentence: 31,আফনার,O
,পড়ালেখা,O
,করা,O
,উচিত,O
Sentence: 2366,আমি,O
,খুব,O
,ভালা,O
,সাজাই,O
Sentence: 568,আম্মার,B-REL
,লাগি,O
,বেশি,O
,খারাপ,O
,লাগছে,O
Sentence: 827,তুমি,O
,রানচো,O
Sentence: 1525,আমার,O
,লাগি,O
,বেশি,O
,ভাবিও,O
,না,O
Sentence: 2431,আমার,O
,দাদার,B-REL
,বাড়ীর,O
,ফিছনে,O
,একটা,O
,সফরি,B-OBJ
,গাছ,I-OBJ
,আছে,O
Sentence: 2595,কান,O
,লাল,B-COL
,করিয়া,O
,পালাইমু,O
,তর,O
Sentence: 3272,আমরার,O
,হখল,O
,এখ,O
,সময়ে,O
,এখলগে,O
,আছি,O
Sentence: 1205,মুই,O
,এখটা,O
,সরখারি,O
,চাকরি,O
,খরি,O
,কিন্তু,O
,হে,O
,কুনতা,O
,খরে,O
,না,O
Sentence: 3249,আমরার,O
,রঙ্গিন,B-COL
,ছবি,O
,তুলা,O
,লাগবো,O
Sentence: 3144,মুই,O
,মনের,O
,কথা,O
,বুঝি,O
,না,O
Sentence: 2469,আমার,O
,নানা,B-REL
,কইছইন,O
,সরিষার,O
,তেল,O
,চুল,O
,ফড়া,O
,কমায়,O
Sentence: 1008,মুই,O
,হেসময়,O
,জিকাইলাম,O
,খেনে,O
,কিতা,O
,অইছে,O
Sentence: 3015,রাস্তা,B-LOC
,বায়দি,O
,হাটিয়া,O
,যাইরো,O
Sentence: 529,আমি,O
,একজন,O
,প্রফেশনাল,B-ROLE
,ব্লগার,I-ROLE
,ওইয়া,O
,কাম,O
,করিয়ার,O
Sentence: 2347,আমি,O
,আমার,O
,আম্মার,B-REL
,হক্কল,O
,কথা,O
,ধুন,O
,দরিয়া,O
,হুনি,O
Sentence: 126,তুমারে,O
,কান্দাত,O
,আইয়া,O
,জড়াইয়া,O
,ধরা,O
,বাকি,O
Sentence: 1554,বাবায়,B-REL
,বই,B-OBJ
,ওগু,B-OBJ
,বুকশেলফও,O
,তুলিয়া,O
,রাখছিলা,O
Sentence: 531,দূর,O
,ওই,O
,কোন,O
,কান,O
,ও,O
,যিনো,O
,কেউ,O
,নায়,O
Sentence: 3299,তোনেও,O
,মেধাবী,O
,আছিলাম,O
Sentence: 1531,ভাত,B-FOOD
,বাঙালির,B-ROLE
,বউতকাল,O
,ধরি,O
,প্রিয়,O
,খানি,O
Sentence: 1623,ইতা,O
,বাদেও,O
,আরেকটা,O
,কারণ,O
,আছে,O
Sentence: 1879,বরিশালর,B-LOC
,মানুষ,O
,কিলা,O
,অইন,O
Sentence: 1820,হাইরোর,B-FOOD
,তেল,I-FOOD
,দিয়া,O
,মাছ,B-FOOD
,ভাজা,I-FOOD
,খাইতাম,O
Sentence: 1607,রজনীগন্ধা,B-OBJ
,গোলাপ,B-OBJ
,গাঁদা,B-OBJ
,লগে,O
,আরো,O
,বউত,O
,জাত,O
,ওর,O
,ফুল,B-OBJ
,আছে,O
,দোকান,B-ORG
,ও,O
Sentence: 1828,দাদু,B-REL
,নাইকল,B-FOOD
,ফানি,I-FOOD
,পছন্দ,O
,করইন,O
Sentence: 3367,এগু,O
,বই,B-OBJ
,পড়ছি,O
Sentence: 1500,বউতবার,O
,লালবাগ,B-LOC
,কেল্লার,I-LOC
,মাত,O
,হুনছি,O
Sentence: 2346,আজকে,O
,সকালে,O
,আমি,O
,আর,O
,আমার,O
,বন্ধুইন্তে,B-REL
,ফুটবল,B-OBJ
,খেলাত,O
,গেসলাম,O
,মাঠো,B-LOC
Sentence: 3286,চিনিন,O
,না,O
Sentence: 273,মোরে,O
,এখটু,O
,সাহায্য,O
,খরইন,O
Sentence: 2879,শিমুর,O
,লাল,O
,রং,O
,পছন্দ,O
Sentence: 1170,ফুড়ি,O
,পরিবারর,O
,লগে,O
,ফোনে,B-OBJ
,মাতে,O
Sentence: 1632,মাঠ,B-LOC
,ওর,O
,দুই,O
,ধারো,O
,সবুজ,B-LOC
,ধানক্ষেত,I-LOC
Sentence: 2795,আমি,O
,খেলি,O
Sentence: 364,যেব্‌লাকু,O
,ভাবি,O
,তুমি,O
,ছাড়া,O
,আমার,O
,জিন্দেগি,O
,আইন্দাইর,O
,ঠিক,O
,হ,O
,সময়,O
,অউ,O
,কারেন্ট,O
,আই,O
,অয়,O
Sentence: 258,ক্লাসর,O
,হখল,O
,ফুড়িন্তর,O
,লগেউ,O
,মিশতাম,O
Sentence: 918,তুমিতাইন,O
,কিতা,O
,রাত্রে,O
,বারোইবায়,O
,নি,O
Sentence: 8,ফুড়িটায়,O
,সিলেট,B-LOC
,থাকি,O
,আওয়া,O
,অউ,O
,ফুয়াটারে,O
,অনেক,O
,ভালা,O
,পায়,O
Sentence: 2590,ঘুম,O
,আয়,O
,কিওর,O
,লাগি,O
Sentence: 2737,আমি,O
,ভালা,O
,নাই,O
Sentence: 322,আফনে,O
,কিতা,O
,আফনার,O
,হাত,O
,ধুয়া,O
,চিনইন,O
,নি,O
Sentence: 2674,কোন,O
,স্কুলো,B-ORG
,পড়ো,O
Sentence: 2456,একটা,O
,আহত,O
,শিশুটা,O
,রাস্তায়,B-LOC
,দাড়িনিত,O
,কান্দের,O
Sentence: 446,তুই,O
,কিতা,O
,আমার,O
,লগে,O
,বাংলায়,O
,মাত্তে,O
,ফারবে,O
,নি,O
Sentence: 853,যেগুয়ে,O
,গাত,O
,হাত,O
,তুলিয়া,O
,অন্য,O
,ফুরিন্তোর,O
,লগে,O
,মাতে,O
,ঘরও,O
,বউ,B-REL
,রাখিয়া,O
Sentence: 1065,আরোখবায়,O
,আফনার,O
,জামাইও,B-REL
,মানুষ,O
,হিসাবে,O
,ভালা,O
,নায়,O
Sentence: 3207,আমরা,O
,ফারতাম,O
,নায়,O
Sentence: 976,আমার,O
,ক্ষুদা,O
,লাগরো,O
Sentence: 1427,দুনিয়াত,B-LOC
,আসলে,O
,চেহারার,O
,সুন্দর,O
,অউ,O
,সবতা,O
Sentence: 2388,বাগানোর,B-LOC
,মাঝখানো,O
,আমার,O
,ছুট,B-REL
,ভাইয়ে,I-REL
,দৌড়ার,O
Sentence: 1333,এতে,O
,যদি,O
,মোর,O
,জামাইর,B-REL
,খুব,O
,বেশি,O
,সমস্যা,O
,অয়,O
Sentence: 1496,বড়ো,B-REL
,মামা,I-REL
,বিদেশ,B-LOC
,তনে,O
,আইছোইন,O
Sentence: 1010,আফনারা,O
,খইন,O
,হে,O
,পরকীয়া,O
,খরবো,O
,বউরে,B-REL
,মারবো,O
,আর,O
,বাফ,B-REL
,মা,B-REL
,চুফ,O
,থাখবা,O
Sentence: 1568,হাত,O
,মুখ,O
,ধইয়া,O
,হে,O
,নাস্তা,B-FOOD
,খানিত,O
,বইলো,O
Sentence: 415,আমি,O
,আফনার,O
,লগে,O
,বাদে,O
,দেখা,O
,করিয়ার,O
Sentence: 1931,আমার,O
,বিয়ার,O
,বয়স,O
,পারই,O
,যার,O
Sentence: 1038,হে,O
,বারে,O
,যা,O
,ইচ্ছা,O
,খরবো,O
,বউ,B-REL
,হিসাবে,O
,মোরে,O
,রাখবো,O
Sentence: 2293,আমার,O
,বন্ধুরা,B-REL
,হকল,O
,খুব,O
,মেধাবী,O
Sentence: 884,যত,O
,বড়,O
,ওইছি,O
,দেখি,O
,হক্কলের,O
,চউখও,O
,একলাকান,O
,বিষ,O
,ওর,O
,মতো,O
,ওই,O
,গেছি,O
,আমি,O
Sentence: 2119,আফনে,O
,খেলাত,O
,জিতলা,O
Sentence: 166,ফুয়াইন্তর,O
,পোস্ট,O
,অইলো,O
,সোনার,O
,দুকান,O
,এর,O
,লাগি,O
,খুব,O
,কম,O
,মাইনষে,O
,অনো,O
,আইন,O
Sentence: 2536,আমি,O
,জানি,O
,তুমি,O
,আইছো,O
Sentence: 2248,এই,O
,গানটি,O
,আমার,O
,খুব,O
,ভালা,O
,লাগে,O
Sentence: 276,এখসময়,O
,ফুয়া,O
,অগুর,O
,ফুড়ি,O
,অগুরে,O
,ভালা,O
,লাগবো,O
Sentence: 2303,আইজ,O
,সিঙ্গেল,O
,বলিয়া,O
,ফাকানিত,O
,যাইতে,O
,ফারি,O
,না,O
Sentence: 889,আম্মায়,B-REL
,কুন্তা,O
,ওইলেউ,O
,আমারে,O
,পিটাপিটি,O
,করে,O
Sentence: 596,কিলা,O
,আছোইন,O
,আফনারা,O
Sentence: 1301,তাইন,O
,নামাজ,O
,কালামও,O
,ঠিকঠাক,O
,পড়ইন,O
,না,O
Sentence: 82,বাদে,O
,এক,O
,ভাই,B-REL
,কুয়েত,B-LOC
,গেছেগি,O
,আর,O
,আরোখ,O
,ভাই,B-REL
,সুদান,B-LOC
,গেছে,O
,গি,O
Sentence: 2242,মুই,O
,সারা,O
,জীবন,O
,আফনার,O
,ভালোবাসা,O
,ফাইতে,O
,চাই,O
Sentence: 2465,আব্বা,B-REL
,আইজকে,O
,বিয়ানে,O
,বাজার,O
,থাকি,O
,টমেটো,B-FOOD
,কিনিয়া,O
,আনছইন,O
Sentence: 2083,ওখন,O
,পর্যন্ত,O
,হকলতাউ,O
,ঠিকমতো,O
,আয়োজন,O
,করছি,O
Sentence: 1908,ফুয়াটায়,O
,কিতার,O
,লাগি,O
,যে,O
,ফুড়িটার,O
,মনর,O
,কথা,O
,বুঝলো,O
,না,O
Sentence: 2761,কিতার,O
,লাগি,O
,কইরায়,O
Sentence: 1359,তাইন,O
,নানা,O
,ফন্দি,O
,ফিকির,O
,করিয়া,O
,বাসাত,O
,এখলা,O
,থাকতা,O
,চাইতা,O
Sentence: 2145,তুমি,O
,মোরে,O
,বিরক্ত,O
,করবা,O
,না,O
Sentence: 685,তুমিতাইন,O
,ওর,O
,ক্রিকেট,O
,খেলা,O
,কিলা,O
,লাগে,O
Sentence: 2487,আমি,O
,আর,O
,আব্বা,B-REL
,গতকাইল,O
,সিলেট,B-LOC
,থাকি,O
,ডাকাত,B-LOC
,আইছি,O
Sentence: 2515,তরকারি,B-FOOD
,নাও,O
Sentence: 1523,তবে,O
,বাচিয়া,O
,আছি,O
,আর,O
,খুব,O
,বালাও,O
,আছি,O
Sentence: 3393,মিল,O
,আছিলো,O
,না,O
Sentence: 2139,ফুরিটা,O
,সকালে,O
,ঘুম,O
,থাকি,O
