Sentence #,mymensingh_word,bio_tag
,পড়সিলাম,O
Sentence: 2923,আমি,O
,অবাক,O
,হইয়া,O
,গেসিলাম,O
Sentence: 1407,আমি,O
,কিন্তু,O
,এইডা,O
,ভাবি,O
,নাই,O
,যে,O
,ও,O
,মনে,O
,রাহে,O
,না,O
,আমি,O
,কেন,O
,করতে,O
,যায়াম,O
Sentence: 207,পুরনা,O
,দিনের,O
,কথা,O
,মনে,O
,পইড়া,O
,গেল,O
Sentence: 2951,দুইডা,O
,পুত,B-REL
,আসিন,O
Sentence: 2289,তোমার,O
,পরিবার,O
,আমার,O
,আব্বার,B-REL
,সাথে,O
,কথা,O
,কইতে,O
,চায়,O
Sentence: 2121,তুমি,O
,যাও,O
,এইহান,O
,থাইক্কা,O
Sentence: 1259,আমার,O
,বিয়ার,O
,দুই,O
,মাসের,O
,মাথায়,O
,আব্বা,B-REL
,মারা,O
,গেসেন,O
Sentence: 2945,আগে,O
,যাইন,O
Sentence: 21,সে,O
,এহন,O
,রাজশাহী,B-LOC
,চইলা,O
,গেসে,O
Sentence: 1481,তোমার,O
,এক,O
,ফোটা,O
,হাসি,O
,দেহনের,O
,লাইজ্ঞা,O
,বয়া,O
,আসি,O
Sentence: 1096,বাড়ি,O
,থাইক্কা,O
,ছেড়া,O
,দেহা,O
,শুরু,O
,করল,O
Sentence: 3078,বিদেশে,B-LOC
,ঘুরবার,O
,যাইয়াম,O
,আমার,O
,স্বপ্ন,O
Sentence: 1126,ক্লাস,O
,নাইনে,O
,আমরার,O
,প্রথম,O
,কথা,O
,হয়,O
,ফেসবুকে,B-ORG
Sentence: 358,আজ,O
,গরিব,O
,বইল্লা,O
,পৃথিবীতে,B-LOC
,থাকি,O
,বড়লোক,O
,হইলে,O
,মঙ্গল,B-LOC
,গ্রহে,I-LOC
,থাকতাম,O
Sentence: 2892,আমি,O
,বেশি,O
,লম্বা,O
,না,O
Sentence: 3386,আমার,O
,ভালোবাসাত,O
,কমডা,O
,কি,O
,আসিন,O
Sentence: 2938,আমার,O
,পায়ে,O
,বেদনা,O
,করতাসে,O
Sentence: 146,আফনে,O
,কারো,O
,জীবনে,O
,সুখ,O
,আইন্না,O
,দিবেন,O
,ভাইব্বা,O
,প্রেম,O
,করেন,O
Sentence: 3342,আমার,O
,মেলা,O
,ভালা,O
,লাগে,O
Sentence: 2236,আমরার,O
,ঘরের,O
,প্রতিডা,O
,রুম,O
,ফুল,B-OBJ
,দিয়া,O
,সাজায়া,O
,রাখসি,O
Sentence: 2423,ওই,O
,মাইয়ারে,O
,যেমনেই,O
,হোক,O
,খুঁইজ্জা,O
,বাইর,O
,করতে,O
,হইব,O
Sentence: 1624,ঘরে,O
,আলো,O
,হাওয়া,O
,তেমন,O
,ঢুকতে,O
,পারে,O
,না,O
Sentence: 2898,হারায়া,O
,গেসি,O
Sentence: 1956,মন,O
,হইলো,O
,দেয়ার,O
,লাইজ্ঞা,O
Sentence: 2648,হে,O
,হাসে,O
,না,O
Sentence: 239,সন্তানরে,O
,খালি,O
,হের,O
,মায়ের,B-REL
,কোলেই,O
,মানায়,O
Sentence: 974,আমি,O
,আপেল,B-FOOD
,পসন্দ,O
,করি,O
Sentence: 774,লাল,B-COL
,রঙের,I-COL
,শাড়িতে,B-OBJ
,তোমরে,O
,ভালা,O
,মানাইব,O
Sentence: 3046,শুক্কুরবার,O
,আমরা,O
,গেসিলাম,O
Sentence: 2866,খাইতে,O
,ভালা,O
,লাগে,O
Sentence: 3114,মেলা,O
,ভালা,O
,লাগে,O
Sentence: 2844,তুমি,O
,তাত্তাড়ি,O
,উইঠ্যা,O
,যাও,O
Sentence: 1507,সাড়ে,O
,চারটায়,O
,বেহের,O
,মাঠে,B-LOC
,আওনের,O
,কথা,O
Sentence: 1102,হেয়,O
,হের,O
,বাপের,B-REL
,ভয়ে,O
,কোন,O
,কথাই,O
,কইতে,O
,পারলো,O
,না,O
Sentence: 629,তোমার,O
,মূল্যবান,O
,বক্তব্যের,O
,লাইজ্ঞা,O
,তোমারে,O
,মেলা,O
,ধন্যবাদ,O
Sentence: 3472,আমি,O
,তুমার,O
,লাইগ্গা,O
,কিতা,O
,আনবাম,O
Sentence: 2397,আমার,O
,আব্বা,B-REL
,বড়,B-REL
,ভাইয়ের,I-REL
,উপর,O
,রাইজ্ঞা,O
,গেসিল,O
Sentence: 1949,অনেকে,O
,আরো,O
,কয়,O
,যে,O
,বিয়া,O
,করলে,O
,মাইনষে,O
,নাকি,O
,গাধা,O
,হয়,O
Sentence: 3126,আমারে,O
,অপমান,O
,করে,O
Sentence: 20,সে,O
,সিলেট,B-LOC
,থাইকা,O
,আমার,O
,সাথে,O
,দেখা,O
,করতে,O
,আইসিল,O
Sentence: 32,আপনের,O
,পড়ালেহা,O
,করতে,O
,হইব,O
Sentence: 3461,দেইখ্যা,O
,কিরুম,O
,জানি,O
,লাগতাসে,O
Sentence: 320,আব্বার,B-REL
,মুখের,O
,দিকে,O
,তাকায়া,O
,কেমন,O
,জানি,O
,একটা,O
,শূন্যতা,O
,অনুভব,O
,করলাম,O
Sentence: 2001,হেয়,O
,বেগসময়,O
,মিথ্যা,O
,কথা,O
,কইত,O
Sentence: 2412,আব্বা,B-REL
,অশিক্ষিত,O
,একটা,O
,ছেড়ার,O
,সাথে,O
,আমার,O
,বিয়া,O
,দিতে,O
,চাইসিল,O
Sentence: 378,আমি,O
,কি,O
,খালি,O
,একটা,O
,জিনিস,O
,কইতে,O
,ফারি,O
,দয়া,O
,কইরা,O
Sentence: 1720,পরে,O
,আমরা,O
,লাইব্রেরি,B-LOC
,দেখতাম,O
,যাই,O
Sentence: 1443,আমার,O
,লগে,O
,বাজে,O
,ব্যবহার,O
,করতে,O
,থাকলো,O
Sentence: 335,আমার,O
,ভালা,O
,লাগলো,O
,আফনের,O
,কথা,O
,ফইড়া,O
Sentence: 2861,আমার,O
,সহালে,O
,খাইতে,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 2956,আমার,O
,হলুদ,B-COL
,রং,I-COL
,পসন্দ,O
Sentence: 928,একটা,O
,বিলাই,B-ANI
,দরজার,B-OBJ
,সামনে,O
,বয়া,O
,আসে,O
Sentence: 2890,আমি,O
,বেশি,O
,লম্বা,O
Sentence: 1595,হের,O
,কাসে,O
,মেলা,O
,টেহা,B-OBJ
,আসে,O
Sentence: 2528,আমার,O
,কতা,O
,বুজতারোস,O
,তুই,O
Sentence: 288,উনারা,O
,উনাদের,O
,মত,O
,পানি,O
,দিব,O
,যারার,O
,লগে,O
,ভালা,B-FOOD
,সম্পর্ক,O
,আসে,O
,খালি,O
,তারারে,O
,দিব,O
,আর,O
,কাউরে,O
,দিত,O
,না,O
Sentence: 3073,আইন্নের,O
,বইনের,B-REL
,কি,O
,বিয়া,O
,হইয়া,O
,গেসে,O
Sentence: 2171,আমার,O
,বন্ধু,B-REL
,ইস্কুলের,B-LOC
,মাঠে,I-LOC
,প্রতিদিন,O
,ক্রিকেট,O
,খেলে,O
Sentence: 1832,জাম্বুরা,B-FOOD
,ঠান্ডা,O
,সর্দি,O
,জ্বর,O
,জনিত,O
,সমস্যার,O
,লাইজ্ঞা,O
,খাইলে,O
,ভাল,O
,ফলাফল,O
,পাওয়ন,O
,যায়,O
Sentence: 1415,ঢাকায়,B-LOC
,আইসি,O
,এসএসসি,O
,পরীক্ষা,O
,দিয়ে,O
Sentence: 3255,আইন্নে,O
,বাইচ্চা,O
,আসুইন,O
Sentence: 3364,কি,O
,করুইন,O
,আইন্নে,O
Sentence: 2406,ছেড়াডা,O
,আরও,O
,দুই,O
,বসর,O
,পরে,O
,বিয়া,O
,করতে,O
,চায়,O
Sentence: 1835,কবুতর,B-ANI
,পালতে,O
,বেশি,O
,জায়গারও,O
,দরকার,O
,হয়,O
,না,O
Sentence: 29,আমি,O
,তোমারে,O
,আগে,O
,কখনো,O
,দেখি,O
,নাই,O
Sentence: 3446,হে,O
,পরিবাররে,O
,ভালোবাসে,O
Sentence: 73,কিনুতাই,O
,বুঝতে,O
,পারলাম,O
,না,O
Sentence: 1535,যাতায়াতের,O
,প্রধান,O
,উপায়,O
,আসিল,O
,নৌকা,B-OBJ
Sentence: 532,আমি,O
,কেরে,O
,বেগসময়,O
,কষ্ট,O
,পাই,O
Sentence: 2954,এক,O
,বেডার,O
,দুইডা,O
,পুত,B-REL
,আসিন,O
Sentence: 2314,গ্রামের,B-LOC
,বাড়ির,I-LOC
,এই,O
,মাইয়াডারে,O
,খুব,O
,ভালা,O
,লাগসিল,O
Sentence: 855,কোন,O
,মানুষের,O
,প্রতি,O
,একবার,O
,বিশ্বাস,O
,উইঠঠা,O
,গেলে,O
,অভিনয়,O
,কইরা,O
,বেশি,O
,দিন,O
,অইহানে,O
,থাকন,O
,যায়,O
,না,O
Sentence: 1305,আমার,O
,বিয়া,O
,হইসে,O
,চাইর,O
,বছর,O
Sentence: 1900,বুইজ্ঝা,O
,উঠতে,O
,পারতাসিলাম,O
,না,O
,কীতা,O
,করবাম,O
Sentence: 1269,কিসু,O
,কইলে,O
,হেয়,O
,ওইডা,O
,অন্যভাবে,O
,নিয়া,O
,চিল্লাচিল্লি,O
,করে,O
Sentence: 1152,পোলা,O
,এক,O
,মাস,O
,আগে,O
,বাংলাদেশে,B-LOC
,আসে,O
,এই,O
,ঈদে,O
,তারার,O
,বিয়া,O
,হওয়ার,O
,কথা,O
Sentence: 831,মেকআপ,O
,টা,O
,কেমন,O
,হইসে,O
Sentence: 395,হেরা,O
,একটা,O
,দূর,O
,পাহাড়ের,B-LOC
,দিকে,O
,যাওনের,O
,পথে,O
,একটা,O
,পুষকুনি,B-LOC
,দেখল,O
Sentence: 2472,দিন,O
,দিন,O
,আমি,O
,খুব,O
,অসুস্থ,O
,হয়া,O
,যাইতাসি,O
Sentence: 941,আমডা,B-FOOD
,কেডা,O
,খাইসিল,O
Sentence: 2527,কি,O
,করবো,O
,আমি,O
,যুদি,O
,ঠিক,O
,থাহি,O
Sentence: 343,খুব,O
,সুন্দর,O
,কথা,O
,কইসেন,O
Sentence: 1211,অনেকবার,O
,বেহেই,O
,কথা,O
,কইসে,O
,বুঝাইতে,O
,চাইসে,O
,যে,O
,কি,O
,সমস্যা,O
,কিন্তু,O
,কোনো,O
,সমাধান,O
,হয়নাই,O
Sentence: 219,গানটা,O
,হুইন্না,O
,চোক্ষে,O
,পানি,O
,চইল্লা,O
,আইলো,O
,সত্যি,O
,খুব,O
,ভালা,O
,লাগসে,O
Sentence: 1485,এলাকায়,B-LOC
,আগুন,O
,লাগসে,O
Sentence: 1451,হেয়,O
,কেমনে,O
,পারলো,O
,এতো,O
,স্বপ্ন,O
,দেহানোর,O
,পরে,O
,আমারে,O
,ঠকাইতে,O
Sentence: 589,হের,O
,চেয়ে,O
,আমি,O
,দেখতে,O
,সুন্দর,O
Sentence: 2992,আমার,O
,নীল,B-COL
,রং,I-COL
,পসন্দ,O
Sentence: 3086,আমার,O
,জীবনের,O
,আলো,O
Sentence: 1911,তুমি,O
,আমারে,O
,দয়া,O
,কইরা,O
,আর,O
,বিরক্ত,O
,কইরোনা,O
Sentence: 2520,শিমুর,B-PER
,ধূসর,B-COL
,রং,I-COL
,পসন্দ,O
Sentence: 2555,আসল,O
,কতায়,O
,আইয়া,O
Sentence: 2128,আমার,O
,বড়,B-REL
,বইনের,I-REL
,আইজ,O
,মন,O
,ভালা,O
,নাই,O
Sentence: 705,বৃষ্টির,O
,দিনে,O
,চা,B-FOOD
,খাইতে,O
,ভালা,O
,লাগে,O
Sentence: 3382,আমি,O
,কেন,O
,বেকতা,O
,সময়,O
,কষ্ট,O
,পাই,O
Sentence: 145,কেউ,O
,আফনের,O
,জীবনে,O
,সুখ,O
,আইন্না,O
,দিব,O
,ভাইব্বা,O
,কারো,O
,সাথে,O
,প্রেমে,O
,জড়াইয়েন,O
,না,O
Sentence: 3324,আইজকা,O
,ভাইরে,B-REL
,দেখলাম,O
Sentence: 2947,আমারে,O
,ডাকবাইন,O
,না,O
Sentence: 1422,আমি,O
,কেমনে,O
,বুঝতাম,O
,যে,O
,মানুষগুলা,O
,সঠিক,O
,না,O
Sentence: 3009,মাইয়াডা,O
,খুব,O
,বেদ্দপ,O
Sentence: 2091,এতো,O
,টেহা,B-OBJ
,কই,O
,পায়াম,O
Sentence: 552,আমি,O
,তোমার,O
,লগে,O
,দুনিয়াডা,B-LOC
,ঘুইরা,O
,আসতাম,O
,চাই,O
Sentence: 727,কবিতা,O
,পড়তে,O
,আমার,O
,ভালা,O
,লাগে,O
Sentence: 2960,আমার,O
,সাদা,B-COL
,রং,I-COL
,পসন্দ,O
Sentence: 2530,তুমারে,O
,আমরা,O
,দেইখ্যা,O
,লমু,O
Sentence: 2097,আমারে,O
,ছাইড়া,O
,ভাল,O
,থাইক্ক,O
Sentence: 2113,হেয়,O
,রাস্তার,B-LOC
,মাঝে,O
,দৌড়ায়,O
Sentence: 569,আমারার,O
,পরিবারে,O
,আম্মার,B-REL
,অবদানই,O
,বেশি,O
,বইল্লা,O
,আমি,O
,মনে,O
,করি,O
Sentence: 1446,পরিবার,O
,তুইল্লা,O
,গালি,O
,দেয়,O
Sentence: 1342,আমার,O
,লগে,O
,হেয়,O
,আগে,O
,দেহা,O
,করত,O
Sentence: 2458,আব্বা,B-REL
,কইসে,O
,বৃষ্টি,O
,হইলে,O
,বারান্দার,O
,গাছে,O
,পানি,B-FOOD
,দেওনের,O
,দরকার,O
,নাই,O
Sentence: 1005,হেয়,O
,কারো,O
,কথা,O
,কয়না,O
,কারো,O
,বাসায়,O
,যায়না,O
Sentence: 600,আইজকাল,O
,পড়াশুনার,O
,চাপ,O
,অনেক,O
,বেশি,O
Sentence: 646,পলিথিনের,B-OBJ
,ব্যবহার,O
,মারাত্মক,O
,রোগের,O
,সৃষ্টি,O
,করতে,O
,পারে,O
Sentence: 1959,আমি,O
,কিসু,O
,লিখতাম,O
,ফারিনা,O
,তোমার,O
,নাম,O
,ছাড়া,O
Sentence: 1586,ঠিক,O
,করা,O
,হইলো,O
,বেহেই,O
,মিল্লা,O
,যায়াম,O
Sentence: 1221,আমার,O
,ভাই,B-REL
,আমরার,O
,পুরা,O
,পরিবার,O
,দেহাশুনা,O
,করে,O
Sentence: 554,তোমার,O
,কথা,O
,হুইন্না,O
,মেলা,O
,ভালা,O
,লাগল,O
Sentence: 31,আপনের,O
,পড়ালেহা,O
,করা,O
,দরকার,O
Sentence: 2366,আমি,O
,মেলা,O
,ভালা,O
,মেকআপ,O
,করি,O
Sentence: 568,আম্মার,B-REL
,লাইজ্ঞা,O
,বেশি,O
,খারাপ,O
,লাগতাসে,O
Sentence: 827,তুমি,O
,রানসো,O
Sentence: 1525,আমার,O
,লাইজ্ঞা,O
,বেশি,O
,চিন্তা,O
,কইরো,O
,না,O
Sentence: 2431,আমার,O
,দাদার,B-REL
,বাড়ীর,O
,পিসনে,O
,একটা,O
,পেয়ারা,B-OBJ
,গাছ,I-OBJ
,আসে,O
Sentence: 2595,কান,O
,টান,O
,লাল,B-COL
,কইরা,O
,ফালাইবাম,O
,আমি,O
,তোর,O
Sentence: 3272,আমরার,O
,বেহেই,O
,একসময়ে,O
,একলগে,O
,আসি,O
Sentence: 1205,আমি,O
,একটা,O
,সরকারি,O
,চাকরি,O
,করি,O
,কিন্তু,O
,হেয়,O
,কিসু,O
,করে,O
,না,O
Sentence: 3249,আমরার,O
,রঙিন,B-COL
,ছবি,O
,তুলুন,O
,লাগবো,O
Sentence: 3144,আমি,O
,মনের,O
,কতা,O
,বুজি,O
,না,O
Sentence: 2469,আমার,O
,নানা,B-REL
,কইসে,O
,সইরষার,O
,তেল,O
,চুল,O
,পড়া,O
,কমায়,O
Sentence: 1008,আমি,O
,তহন,O
,কই,O
,কেন,O
,কি,O
,হইছে,O
Sentence: 3015,রাস্তা,B-LOC
,দিয়া,O
,হাইট্টা,O
,যাইতাসে,O
Sentence: 529,আমি,O
,একজন,O
,প্রফেশনাল,B-ROLE
,ব্লগার,I-ROLE
,হয়া,O
,কাম,O
,করতাসি,O
Sentence: 2347,আমি,O
,আমার,O
,আম্মার,B-REL
,বেগ,O
,কথা,O
,খুবই,O
,মনোযোগ,O
,দিয়া,O
,হুনি,O
Sentence: 126,তোমারে,O
,কাসে,O
,আইসা,O
,জড়ায়া,O
,ধরা,O
,বাকি,O
Sentence: 1554,বাবা,B-REL
,বইডা,B-OBJ
,বুকশেলফে,B-OBJ
,তুইল্লা,O
,রাখসিলেন,O
Sentence: 531,দূরে,O
,কুনোখানে,O
,যেইহানে,O
,কেউ,O
,নাই,O
Sentence: 3299,মেলা,O
,মেধাবী,O
,আসিলাম,O
Sentence: 1531,ভাত,B-FOOD
,বাঙালির,B-ROLE
,মেলাকালের,O
,প্রিয়,O
,খাদ্য,O
Sentence: 1623,তাছাড়া,O
,আরেকটা,O
,কারণও,O
,আসে,O
Sentence: 1879,বরিশালের,B-LOC
,মানুষ,O
,কেমত,O
,হয়,O
Sentence: 1820,সরিষার,B-FOOD
,তেল,I-FOOD
,দিয়া,O
,মাছ,B-FOOD
,ভাজা,I-FOOD
,খায়াম,O
Sentence: 1607,রজনীগন্ধা,B-OBJ
,গোলাপ,B-OBJ
,গাঁদা,B-OBJ
,সহ,O
,নানা,O
,রহম,O
,ফুল,B-OBJ
,আসে,O
,দোহানে,B-ORG
Sentence: 1828,দাদু,B-REL
,নাইরকেল,B-FOOD
,পানি,I-FOOD
,পসন্দ,O
,করে,O
Sentence: 3367,একটা,O
,বই,B-OBJ
,পড়তাসি,O
Sentence: 1500,অনেকবার,O
,লালবাগ,B-LOC
,কেল্লার,I-LOC
,কথা,O
,হুনসি,O
Sentence: 2346,আইজ,O
,সহালে,O
,আমি,O
,আর,O
,আমার,O
,বন্ধুরা,B-REL
,ফুটবল,B-OBJ
,খেলতে,O
,মাঠে,B-LOC
,গেসি,O
Sentence: 3286,চিনুইন,O
,না,O
Sentence: 273,আমারে,O
,একটু,O
,সাহায্য,O
,করবাইন,O
Sentence: 2879,শিমুর,O
,লাল,O
,রং,O
,পসন্দ,O
Sentence: 1170,মাইয়ার,O
,পরিবারের,O
,লগে,O
,ফোনে,B-OBJ
,কথা,O
,কয়,O
Sentence: 1632,মেঠো,B-LOC
,পথের,I-LOC
,দুইপাশে,O
,সবুজ,B-LOC
,ধানখেত,I-LOC
Sentence: 2795,আমি,O
,খেলতাসি,O
Sentence: 364,যহন,O
,ভাবি,O
,তুমি,O
,ছাড়া,O
,আমার,O
,জীবনডা,O
,আন্ধার,O
,ঠিক,O
,তহনই,O
,কারেন্ট,O
,চইল্লা,O
,আসে,O
Sentence: 258,ক্লাসের,O
,সব,O
,মাইয়াদের,O
,সাথেই,O
,মিশতাম,O
Sentence: 918,তুমি,O
,কিতা,O
,রাইতের,O
,বেলা,O
,বাইরে,O
,বের,O
,হইবা,O
Sentence: 8,ছেড়িটা,O
,সিলেট,B-LOC
,থাইকা,O
,আসা,O
,অই,O
,ছেড়াটারে,O
,অনেক,O
,ভালবাসে,O
Sentence: 2590,ঘুমাও,O
,কেরে,O
Sentence: 2737,আমি,O
,ভালা,O
,নাই,O
Sentence: 322,আফনে,O
,কি,O
,আফনের,O
,হাত,O
,ধুইতে,O
,জানেন,O
Sentence: 2674,কোন,O
,ইশকুলে,B-ORG
,পড়ো,O
Sentence: 2456,একটা,O
,আহত,O
,আবুডা,O
,রাস্তায়,B-LOC
,খাড়ায়া,O
,কানতাসে,O
Sentence: 446,তুইন,O
,কিতা,O
,আমার,O
,লগে,O
,বাংলায়,O
,কথা,O
,কইতে,O
,ফারবি,O
Sentence: 853,যে,O
,মানুষ,O
,গায়ে,O
,হাত,O
,তুলে,O
,অন্য,O
,মাইয়ারার,O
,সাথে,O
,কথা,O
,কয়,O
,ঘরে,O
,বউ,B-REL
,রাইক্ষা।,O
Sentence: 1065,অন্যদিকে,O
,আফনের,O
,জামাইও,B-REL
,লোক,O
,হিসাবে,O
,ভালা,O
,না,O
Sentence: 3207,আমরা,O
,পারতাম,O
,না,O
Sentence: 976,আমার,O
,খিদা,O
,পাইতাসে,O
Sentence: 1427,দুনিয়া,B-LOC
,তে,O
,আসলে,O
,চেহারার,O
,সুন্দরই,O
,সব,O
Sentence: 2388,বাগানের,B-LOC
,মধ্যে,O
,গিয়া,O
,আমার,O
,ছোট,B-REL
,ভাই,I-REL
,দৌড়াইল,O
Sentence: 1333,এতে,O
,যদি,O
,আমার,O
,জামাইয়ের,B-REL
,খুব,O
,বেশি,O
,সমস্যা,O
,হয়,O
Sentence: 1496,বড়,B-REL
,মামা,I-REL
,বিদেশ,B-LOC
,থাইক্কা,O
,আইসেন,O
Sentence: 1010,আফনেরা,O
,কন,O
,হেয়,O
,পরকিয়া,O
,করব,O
,বউ,B-REL
,রে,O
,মারব,O
,আর,O
,বাপ,B-REL
,মা,B-REL
,চুপ,O
,থাকব,O
Sentence: 1568,হাত,O
,মুখ,O
,ধুয়া,O
,হেয়,O
,নাশতা,B-FOOD
,করতে,O
,বইল,O
Sentence: 415,আমি,O
,আফনের,O
,সাথে,O
,পরে,O
,দেহা,O
,করবাম,O
Sentence: 1931,আমার,O
,বিয়ার,O
,বয়স,O
,পার,O
,হয়া,O
,যাইতাসেগা,O
Sentence: 1038,হেয়,O
,বাইরে,O
,যা,O
,ইচ্ছা,O
,করব,O
,বউ,B-REL
,হিসাবে,O
,আমারে,O
,রাখব,O
Sentence: 2293,আমার,O
,বন্ধুরা,B-REL
,বেহেই,O
,মেলা,O
,মেধাবী,O
Sentence: 884,যত,O
,বড়,O
,হইলাম,O
,বেহের,O
,চোক্ষে,O
,এক,O
,প্রকার,O
,বিশ,O
,এর,O
,মত,O
,হয়া,O
,গেলাম,O
,আমি,O
Sentence: 2119,আফনে,O
,খেলায়,O
,জিতলেন,O
Sentence: 166,ছেড়ারার,O
,পোস্ট,O
,হইতাসে,O
,সোনার,O
,দোকান,O
,তাই,O
,খুব,O
,কম,O
,মানুষই,O
,এহানে,O
,আহে,O
Sentence: 2536,আমি,O
,জানি,O
,তুমি,O
,আইসো,O
Sentence: 2248,এই,O
,গানডা,O
,আমার,O
,খুব,O
,ভালা,O
,লাগে,O
Sentence: 276,একসময়,O
,ছেড়ার,O
,ছেড়িডারে,O
,ভালা,O
,লাগব,O
Sentence: 2303,আজ,O
,সিঙ্গেল,O
,বইল্লা,O
,ঘুরতাম,O
,যাইতাম,O
,পারি,O
,না,O
Sentence: 889,আম্মা,B-REL
,কিসু,O
,হইলেই,O
,আমারে,O
,মার,O
,ধর,O
,করে,O
Sentence: 596,সবাই,O
,কেমত,O
,আসো,O
Sentence: 1301,উনি,O
,নামাজ,O
,কালাম,O
,ও,O
,ঠিক,O
,মত,O
,পড়েন,O
,না,O
Sentence: 82,বাদে,O
,এক,O
,ভাই,B-REL
,কুয়েত,B-LOC
,যায়গা,O
,আরেক,O
,ভাই,B-REL
,সুদান,B-LOC
,যায়গা,O
Sentence: 2242,আমি,O
,সারা,O
,জীবন,O
,আফনের,O
,ভালবাসা,O
,পাইতাম,O
,চাই,O
Sentence: 2465,আব্বা,B-REL
,আইজকে,O
,সহালে,O
,বাজার,O
,থাইক্কা,O
,টমেটো,B-FOOD
,কিন্না,O
,আনসে,O
Sentence: 2083,এহন,O
,পর্যন্ত,O
,বেগকিসু,O
,ঠিকমতন,O
,আয়োজন,O
,করসি,O
Sentence: 1908,ছেড়াটা,O
,কিল্লেগা,O
,যে,O
,ছেড়িটার,O
,মনের,O
,কথা,O
,বুঝেনা,O
Sentence: 2761,কিল্লেইগ্গা,O
,কইতাসুইন,O
Sentence: 1359,হেয়,O
,নানান,O
,বাহানায়,O
,বাসায়,O
,একলা,O
,থাকতে,O
,চাইতো,O
Sentence: 2145,তুমি,O
,আমারে,O
,বিরক্ত,O
,কইরো,O
,না,O
Sentence: 685,ক্রিকেট,O
,খেলা,O
,তোমার,O
,কেমন,O
,লাগে,O
Sentence: 2487,আমি,O
,আর,O
,আব্বা,B-REL
,কালকে,O
,সিলেট,B-LOC
,থাইক্কা,O
,ঢাকায়,B-LOC
,আইসি,O
Sentence: 2515,ছালুন,B-FOOD
,নেও,O
Sentence: 1523,তবে,O
,বাইচ্চা,O
,আসি,O
,ও,O
,খুব,O
,ভালা,O
,আসি,O
Sentence: 3393,মিলডা,O
,আসিন,O
,না,O
Sentence: 2139,ছেড়িডা,O
,সকালে,O
,ঘুম,O
,থাইক্কা,O
,উইত্থাই,O
,পরতে,O
,বয়,O
Sentence: 3339,ক্রিকেট,O
,তোমার,O
,কিরুম,O
,লাগে,O
Sentence: 3452,তারে,O
,ভালেবাসি,O
Sentence: 37,তর,O
,কি,O
,পড়ালেহা,O
,করতে,O
,এক্কেরেই,O
,ভালালাগে,O
,নাহ,O
Sentence: 2842,তাত্তাড়ি,O
,উইঠ্যা,O
,যাও,O
Sentence: 3423,গান,O
,গাইবার,O
,পারতা,O
,না,O
