Sentence #,noakhali_word,bio_tag
Sentence: 20,হেয়,O
,শীলোট,B-LOC
,তুন,O
,আর,O
,লগে,O
,দেয়া,O
,কইত্তে,O
,আইছিল,O
Sentence: 21,হেয়,O
,অন,O
,রাসসায়ী,B-LOC
,চলি,O
,গেছে,O
Sentence: 22,হেতে,O
,অন,O
,হেতের,O
,দোস্তের,B-REL
,লগে,O
,বিড়ি,B-OBJ
,টানে,O
Sentence: 23,হেতে,O
,এক্কারেই,O
,আশেনা,O
Sentence: 24,হিগা,O
,আরে,O
,বেইজ্জুদি,O
,করে,O
Sentence: 25,হিগার,O
,বই,B-OBJ
,হইটটে,O
,এককারে,O
,বালা,O
,লাগে,O
,না,O
Sentence: 26,আন্নের,O
,কি,O
,বই,B-OBJ
,হড়ার,O
,ঐববাস,O
,আছে,O
Sentence: 27,তুই,O
,য়ারে,O
,চিনো,O
Sentence: 28,আই,O
,তোরে,O
,আগে,O
,কোনোসুমে,O
,দেই,O
,ন,O
Sentence: 29,আই,O
,তোরে,O
,চিনতে,O
,হাইরলাম,O
,না,O
Sentence: 30,আর,O
,হরালেয়া,O
,কইত্তে,O
,একছের,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 31,আন্নের,O
,হরালেয়া,O
,করন,O
,দরকার,O
Sentence: 32,আন্নেরে,O
,হরালেয়া,O
,কইত্তে,O
,অইবো,O
Sentence: 33,আন্নের,O
,কি,O
,হরালেয়া,O
,কইত্তে,O
,একছের,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 34,তোর,O
,হরালেয়া,O
,কইরতো,O
,অইবো,O
Sentence: 35,তুই,O
,কি,O
,আর,O
,হরালেয়া,O
,কইত্তি,O
,নও,O
Sentence: 36,তুই,O
,কি,O
,হরালেয়া,O
,ছাড়দিয়া,O
,লাইতো,O
,চাস,O
Sentence: 37,তোর,O
,কি,O
,হরালেয়া,O
,কইত্তে,O
,একছের,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 38,তুই,O
,কি,O
,অন,O
,খাইতো,O
,বইবি,O
Sentence: 39,আইজগা,O
,আর,O
,খাইতে,O
,ভালা,O
,লগের,O
,না,O
Sentence: 40,আর,O
,স্কুলে,B-ORG
,মেলা,O
,বনদু,B-REL
,আছে,O
Sentence: 41,আর,O
,ছোড,B-REL
,বইন,I-REL
,স্কুলে,B-ORG
,যাইতো,O
,চায়,O
,না,O
Sentence: 42,আর,O
,স্কুলো,B-ORG
,যাইতো,O
,মেলা,O
,ভালা,O
,লাগে,O
Sentence: 43,হেতে,O
,হেতেগো,O
,গ্রামে,B-LOC
,এককান,O
,স্কুলে,B-ORG
,হড়ালেয়া,O
,করে,O
Sentence: 44,হেতে,O
,স্কুলো,B-ORG
,যাইতো,O
,চায়,O
,না,O
Sentence: 45,হেতের,O
,স্কুলে,B-ORG
,যাই,O
,হড়ালেয়া,O
,কইরতো,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 46,হেতে,O
,স্কুলো,B-ORG
,যাই,O
,বনদুগোর,B-REL
,লগে,O
,গল্ফ,O
,করে,O
Sentence: 47,হেতে,O
,স্কুলের,B-LOC
,মাডো,I-LOC
,হইত্তোদিন,O
,ক্রিকেট,O
,খেলে,O
Sentence: 48,হেতি,O
,স্কুলের,B-LOC
,মাডো,I-LOC
,মাতা,O
,ঘুরি,O
,হড়ি,O
,গেছেগই,O
Sentence: 49,হেতে,O
,মেলা,O
,দিন,O
,আগে,O
,স্কুলের,B-ORG
,অগগা,O
,বইতালিরে,O
,ভালোবাইসতো,O
Sentence: 50,হোলাগা,O
,হেতাগো,O
,গ্রামের,B-LOC
,ছোট্ট,O
,এককান,O
,স্কুলতুন,B-ORG
,হড়ালেয়া,O
,করি,O
,এসএসসি,O
,হাস,O
,কইচ্ছে,O
Sentence: 51,তোংগো,O
,বাসা,O
,কোনাই,O
Sentence: 52,ঢাকা,B-LOC
,বাংলাদেশ,B-LOC
,এর,O
,রাইজধানী,O
Sentence: 53,তুই,O
,কি,O
,আর,O
,লগে,O
,হেম,O
,কইরবা,O
Sentence: 54,আই,O
,আইজগা,O
,সকালে,O
,ফুলবল,B-OBJ
,খেইলছি,O
Sentence: 55,আই,O
,তোওর,O
,মনে,O
,কতা,O
,বুজি,O
Sentence: 56,তোওর,O
,লাই,O
,আর,O
,মেলা,O
,কষ্ট,O
,লাগে,O
Sentence: 57,আংগোর,O
,স্বপ্ফন,O
,মেলা,O
,বড্ডা,O
Sentence: 58,কম,O
,বয়সি,O
,অগগা,O
,হোলা,O
,বাআরা,O
,রাস্তার,B-LOC
,অচে,O
,ফুটপাতে,B-LOC
,দৌড়ার,O
Sentence: 59,লেদা,O
,বাইচ্চা,O
,বিছনাত,B-OBJ
,লাফাই,O
,উডের,O
Sentence: 60,এগগা,O
,হোলা,O
,বিছনাত,B-OBJ
,লাফাআর,O
Sentence: 61,অগগা,O
,হোলা,O
,এক,O
,বিছনাত,B-OBJ
,তুন,O
,আরোক,O
,বিছানাত,B-OBJ
,লাফ,O
,দেএর,O
Sentence: 62,লেদা,O
,বাইচ্চা,O
,ফুটপাতে,B-LOC
,আডেএর,O
Sentence: 63,আই,O
,অগগা,O
,হোলা,O
Sentence: 64,আই,O
,অগগা,O
,বইতালি,O
Sentence: 65,আর,O
,জামাই,B-REL
,আরে,O
,অনেক,O
,ভালোবাসে,O
Sentence: 66,স্কুল,B-ORG
,জীবনতুন,O
,হেতাগো,O
,পেম,O
,আছিলো,O
Sentence: 67,আই,O
,বিয়া,O
,কইচ্ছি,O
,দশ,O
,বছর,O
,অর,O
Sentence: 68,অসম্ভব,O
,ভালা,O
,ছবি,O
Sentence: 69,মেলা,O
,দিন,O
,হরে,O
,এককান,O
,ভালা,O
,ছবি,O
,দেইকছি,O
Sentence: 70,অসম্ভব,O
,ভালা,O
,লেইকছে,O
Sentence: 71,বহুতদিন,O
,হরে,O
,এককান,O
,ভালো,O
,লেয়া,O
,হইড়লাম,O
Sentence: 72,প্রচন্ড,O
,মাথাব্যথা,O
,কইত্তাছিলো,O
Sentence: 73,কিছুই,O
,বুইঝদাম,O
,হারিনো,O
Sentence: 74,হেতন,O
,এটা,O
,দেই,O
,অজ্ঞান,O
,হই,O
,গেছে,O
Sentence: 75,এককতাত,O
,আন্নেরে,O
,অনেক,O
,সুন্দর,O
,লাগের,O
Sentence: 76,আন্নের,O
,ছবির,B-OBJ
,তুন,O
,বাস্তবে,O
,আন্নে,O
,বেশি,O
,সুন্দর,O
Sentence: 77,আন্নের,O
,হাসির,O
,কাছে,O
,বেক,O
,কিছু,O
,হার,O
,মানি,O
,যায়,O
Sentence: 78,আন্নের,O
,চোকগুন,O
,অনেক,O
,সোন্দর,O
Sentence: 79,আন্নের,O
,লগে,O
,পরিচয়,O
,অই,O
,ভালা,O
,লাইগছে,O
Sentence: 80,মেলাদিন,O
,হরে,O
,আন্নেরে,O
,দেইকলাম,O
Sentence: 81,দুই,O
,ভাইর,B-REL
,ভিত্তে,O
,জাগা,O
,জমি,O
,লই,O
,কাইজ্জা,O
,অয়,O
Sentence: 82,হরে,O
,এক,O
,ভাই,B-REL
,কুয়েত,B-LOC
,চলি,O
,গেছে,O
,আরেক,O
,ভাই,B-REL
,সুদান,B-LOC
,চলি,O
,গেছে,O
Sentence: 83,কিছুদিন,O
,হরে,O
,সুদান,B-LOC
,হেরত,O
,বেডাগা,O
,বিয়া,O
,কইচ্ছে,O
Sentence: 84,ফোন,B-OBJ
,হালাই,O
,লেপটিনে,O
,গেলে,O
,মনে,O
,অয়,O
,লাজেন,O
,জরুরী,O
,ফাইল,B-OBJ
,হালাই,O
,অফিসে,B-ORG
,বসি,O
,রইছি,O
Sentence: 85,যতাগো,O
,গালি,O
,দেয়ন,O
,ওই,O
,গেছে,O
,হেতারা,O
,দয়াকরি,O
,লাইনতুন,O
,সড়িদাড়ান,O
Sentence: 86,হিছনে,O
,অনো,O
,মেলা,O
,মানুষ,O
,লাইনে,O
,খাড়াই,O
,রইছে,O
Sentence: 87,হেতাগোরে,O
,গালি,O
,দেওনের,O
,লাই,O
,সুযোগ,O
,করি,O
,দেন,O
Sentence: 88,বেশি,O
,কিছু,O
,কইত্তান,O
,না,O
,কারন,O
,আবেগছ,O
,চোখের,O
,হানি,O
,চলি,O
,আইছে,O
Sentence: 89,তুউই,O
,কইছো,O
,যেতে,O
,থাইকবার,O
,হেতে,O
,এননেই,O
,থাকি,O
,যাইবো,O
Sentence: 90,আগেদি,O
,আন্নেরে,O
,এককান,O
,দোয়ানে,O
,যাইতে,O
,অইবো,O
Sentence: 91,নিজের,O
,হছন্দের,O
,বিয়াত,O
,বাফ,B-REL
,মারে,B-REL
,রাজি,O
,করানি,O
,অইছে,O
Sentence: 92,মাইয়াগা,O
,লাল,B-COL
,শাড়ি,B-OBJ
,হরি,O
,খাড়াই,O
,রইছে,O
Sentence: 93,বউগার,B-REL
,লাই,O
,বন্দুগোর,B-REL
,কাছে,O
,আর,O
,মুখ,O
,দেখাইবার,O
,উফায়,O
,নাই,O
Sentence: 94,আরে,O
,বেকের,O
,সামনে,O
,মাইত্তে,O
,মাইত্তে,O
,বাসাত,O
,লই,O
,আইনছে,O
Sentence: 95,আই,O
,জানি,O
,ইয়ানে,O
,অনেক,O
,মাইয়া,O
,অগল,O
,কমেন্ট,O
,হইডতে,O
,আইবো,O
Sentence: 96,মাঝে,O
,মাঝে,O
,মনে,O
,অয়,O
,ঘরবাড়ি,O
,বেক,O
,মশার,B-ANI
,নামি,O
,দি,O
,হালাই,O
,আই,O
,জঙ্গলে,B-LOC
,চলি,O
,যাই,O
Sentence: 97,তোউর,O
,অই,O
,আছি,O
,আই,O
,তোউর,O
,অই,O
,থাকুম,O
Sentence: 98,হারা,O
,জীবন,O
,আই,O
,তোয়ারে,O
,ভালোবাসি,O
,যামু,O
Sentence: 99,পাশে,O
,থাকিও,O
,সারাজীবন,O
,দূরে,O
,যাইয়ো,O
,না,O
Sentence: 100,তোয়রে,O
,ছাড়া,O
,আর,O
,এক্কানাও,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 101,কুনুগারে,O
,আবেগের,O
,ভালোবাসা,O
,দিচ্ছা,O
,মনের,O
,ভালোবাসা,O
,দিচ,O
Sentence: 102,কিল্লাই,O
,আবেগের,O
,ভালোবাসা,O
,একদিন,O
,বিবেকের,O
,কাছে,O
,হারি,O
,যাইবো,O
Sentence: 103,কেন্নে,O
,বুঝাইতাম,O
,হেতেরে,O
,আই,O
,কতটা,O
,ভালোবাসি,O
Sentence: 104,মেলা,O
,দিন,O
,হর,O
,তোমার,O
,দেয়া,O
,হাইলাম,O
Sentence: 105,তোমারে,O
,দেই,O
,থমকী,O
,খাড়াই,O
,গেছি,O
Sentence: 106,আই,O
,খুব,O
,কষ্ট,O
,নিজেরে,O
,সামলাই,O
,লইছি,O
Sentence: 107,যেত্তে,O
,তুই,O
,আরে,O
,দেখিও,O
,না,O
,দেইকবার,O
,ভান,O
,কইচ্ছোত,O
,আর,O
,দারুন,O
,লাইগছে,O
Sentence: 108,তোয়ারে,O
,হেই,O
,অনুভূতির,O
,কতা,O
,বলি,O
,বুঝাইতে,O
,হাইরতান্ন,O
Sentence: 109,তোয়ারে,O
,খুব,O
,মনে,O
,হইডতাছে,O
,তোয়ারে,O
,লাল,B-COL
,গোলাপ,B-OBJ
,দিয়ুম,O
Sentence: 110,আর,O
,জীবনে,O
,কেউ,O
,নাই,O
,তুউই,O
,ছাড়া,O
Sentence: 111,আর,O
,জীবনে,O
,কোন,O
,স্বপ্ন,O
,নাই,O
,তুউই,O
,ছাড়া,O
Sentence: 112,আর,O
,দুই,O
,চোক,O
,কিচ্ছু,O
,খোজেনা,O
,তোয়ারে,O
,ছাড়া,O
Sentence: 113,যেত্তে,O
,মাইয়া,O
,বুঝে,O
,হেত্তে,O
,হোলা,O
,বুঝে,O
,না,O
Sentence: 114,তুউই,O
,শুধু,O
,মনে,O
,রাখিও,O
,আরে,O
,হারা,O
,বেলা,O
Sentence: 115,চোকের,O
,হানি,O
,মুছি,O
,দিয়ুম,O
,তোয়ার,O
,ঐ,O
,হাসি,O
,দি,O
Sentence: 116,হেটার,O
,লাই,O
,তো,O
,বন্দু,B-REL
,তোমারে,O
,এত,O
,ভালোবাসি,O
Sentence: 117,কত,O
,সুন্দর,O
,তুমি,O
,হেমে,O
,হইড়ছি,O
,আমি,O
Sentence: 118,হোলারা,O
,ভালোবাসার,O
,অবিনয়,O
,কইত্তে,O
,কইত্তে,O
,কন,O
,যে,O
,সত্যি,O
,কারের,O
,ভালোবাসি,O
,হালায়,O
,হেটা,O
,হিগুন,O
,নিজেও,O
,জানে,O
,না,O
Sentence: 119,মাইয়ারা,O
,সত্যিকারের,O
,ভালোবাইসতে,O
,বাইসতে,O
,কঅন,O
,যে,O
,অবিনয়,O
,শুরু,O
,করে,O
,নিজেও,O
,কইতে,O
,হারে,O
,না,O
Sentence: 120,এই,O
,দুনিয়াত,B-LOC
,প্রিরিয়,O
,মানুষগুন,O
,ছাড়া,O
,বাচন,O
,কষ্টকর,O
,অইলেও,O
,কিন্ত,O
,অসম্ভব,O
,ন,O
Sentence: 121,কারোর,O
,লাই,O
,করোর,O
,জীবন,O
,থামি,O
,থাকে,O
,না,O
Sentence: 122,কাউরে,O
,প্রচুর,O
,ভালোবাইসবার,O
,মধ্যে,O
,দুর্বলতা,O
,আছে,O
Sentence: 123,হোলা,O
,আর,O
,মাইয়া,O
,বন্দু,B-REL
,অইতো,O
,হারে,O
,কিন্ত,O
,তারা,O
,অবশ্যই,O
,হেমে,O
,হড়ে,O
Sentence: 124,হোলা,O
,গোর,O
,লাই,B-LOC
,সব,O
,চাইতে,O
,প্রিয়,O
,হইলো,O
,মাইয়াগো,O
,হাসি,O
Sentence: 125,তোমারে,O
,দু,O
,চোখে,O
,এখন,O
,ও,O
,দেখা,O
,বাকী,O
Sentence: 126,তোমারে,O
,কাছে,O
,আই,O
,জড়াই,O
,ধরন,O
,বাকি,O
Sentence: 127,আর,O
,মেলা,O
,ঠাণ্ডা,O
,লাগের,O
Sentence: 128,আর,O
,মন,O
,মেলা,O
,খারাপ,O
Sentence: 129,আন্নের,O
,কি,O
,মন,O
,খারাপ,O
,নি,O
Sentence: 130,তোমার,O
,কি,O
,মন,O
,খারাপ,O
,নি,O
Sentence: 131,আব্বা,B-REL
,আর,O
,লাই,O
,লাল,B-COL
,জামা,B-OBJ
,লই,O
,আছে,O
Sentence: 132,আর,O
,বন্ধু,B-REL
,আর,O
,লাই,O
,লাল,B-COL
,শাড়ি,B-OBJ
,আইনসে,O
Sentence: 133,আর,O
,বন্ধু,B-REL
,আর,O
,লাই,O
,লাল,B-COL
,গোলাপ,B-OBJ
,কিনি,O
,আন্সে,O
Sentence: 134,আর,O
,আম্মা,B-REL
,আমারে,O
,নিয়ে,O
,পার্কে,B-LOC
,ঘুরতে,O
,গেছে,O
Sentence: 135,যেই,O
,ভালোবাসা,O
,যত,O
,বিতরে,O
,সেই,O
,ভালোবাসা,O
,তত,O
,বেশি,O
Sentence: 136,ভালোবাসা,O
,পানের,O
,চাইতে,O
,দেয়ায়,O
,বেশি,O
,খুশি,O
,লাগে,O
Sentence: 137,যোদি,O
,করে,O
,ভালা,O
,বাস,O
,তারে,O
,ছাড়ি,O
,দে,O
Sentence: 138,যদি,O
,হেতে,O
,তোর,O
,কাছে,O
,চলি,O
,আইয়ে,O
,তাইলে,O
,বুঝব,O
,ভালোবাসে,O
Sentence: 139,আর,O
,যদি,O
,না,O
,আইয়ে,O
,তাইলে,O
,হেতে,O
,আন্নের,O
,আছিলই,O
,না,O
,কোনসময়,O
Sentence: 140,যেসময়,O
,কোনো,O
,বেডা,O
,কোনো,O
,বেডি,O
,রে,O
,ভালা,O
,বাসে,O
,হেত,O
,হেতির,O
,লাই,O
,বেগিন,O
,করতে,O
,হারে,O
Sentence: 141,খালি,O
,মুখ,O
,দি,O
,ভালাবাসি,O
,ভালোবাসি,O
,কনের,O
,চাইতে,O
,মনের,O
,ভিতর,O
,তুন,O
,ভালাবাসা,O
,মেলা,O
,কঠিন,O
Sentence: 142,ভালাভাসি,O
,বলতে,O
,এজ্ঞা,O
,আরেজ্ঞা,O
,রে,O
,বুজন,O
Sentence: 143,আই,O
,যে,O
,মানুষ,O
,গারে,O
,ভালবাসাম,O
,হেতে,O
,যদি,O
,না,O
,বুঝবার,O
,না,O
,পারে,O
,তাইলে,O
,এই,O
,প্রেম,O
,করবার,O
,কোনো,O
,লাভ,O
,আছে,O
,কই,O
,মনে,O
,হয়,O
,না,O
Sentence: 144,নিজে,O
,অশুকি,O
,থাই,O
,আরেজ্ঞারে,O
,ভালা,O
,ভাশন,O
,যায়,O
,না,O
Sentence: 145,কনুগা,O
,আন্নের,O
,জীবনে,O
,সুখ,O
,আনি,O
,দিবো,O
,এইডা,O
,ভাবি,O
,কারো,O
,লগে,O
,প্রেম,O
,এ,O
,জরাইয়েন,O
,না,O
Sentence: 146,আননে,O
,কারো,O
,জীবনে,O
,ভালোবাসা,O
,আনি,O
,দিবেন,O
,এই,O
,চিন্তা,O
,করে,O
,পীড়িত,O
,করেন,O
Sentence: 147,সত্যিকারের,O
,ভালোবাসা,O
,শুধু,O
,ভালোবাসার,O
,মানুষরে,O
,সুখি,O
,কইরতো,O
,চায়,O
,তার,O
,থেকে,O
,কোন,O
,কিছু,O
,পতিদান,O
,চায়,O
,না,O
Sentence: 148,ভালোবাসা,O
,মানে,O
,কারো,O
,পাইজান,O
,নো,O
,বলতে,O
,পারো,O
,নিজেই,O
,কারো,O
,জন্যে,O
,হেরে,O
,যাওয়া,O
Sentence: 149,আন্ন,O
,কোনোদিন,O
,হার্তেন,O
,নো,O
,কারো,O
,ভালোবাসা,O
,লই,O
,যাইতে,O
,কিংবা,O
,অন্যের,O
,ভালা,O
,লাগার,O
,মানুষ,O
,হইতে,O
Sentence: 150,চোখের,O
,সামনে,O
,যাদেরকে,O
,দেখসেন,O
,তাদেরকে,O
,কাইলগা,O
,যে,O
,দেখবেন,O
,হেডার,O
,কোনো,O
,নিচয়টা,O
,নাইয়েরর,O
Sentence: 151,ভালা,O
,লাগে,O
,তোর,O
,ওই,O
,কাজল,B-OBJ
,কালা,B-COL
,চোক,O
Sentence: 152,তোর,O
,মনের,O
,কথা,O
,আজ,O
,আমাকে,O
,খুলে,O
,বল,O
Sentence: 153,আমার,O
,হাত,O
,ধরে,O
,চলার,O
,শুরু,O
,কর,O
,পিছনে,O
,ফিরণ,O
,লাগবো,O
,না,O
Sentence: 154,গোলাপ,B-OBJ
,ফুল,I-OBJ
,দিয়ুম,O
,আই,O
,তোমার,O
,হাতে,O
Sentence: 155,এই,O
,মন,O
,দা,O
,তোরে,O
,দি,O
,দিলাম,O
Sentence: 156,তোর,O
,এই,O
,মন,O
,আমি,O
,নিয়ে,O
,নিলাম,O
Sentence: 157,হাজার,O
,কথার,O
,মাঝে,O
,এককান,O
,মনে,O
,কথা,O
,লুকাই,O
,আছে,O
Sentence: 158,বেগীন,O
,মুখে,O
,কোন,O
,যায়,O
,না,O
Sentence: 159,হাজার,O
,কথার,O
,মাঝে,O
,ওই,O
,এক্কান,O
,কথা,O
,বুঝি,O
,নেন,O
,লাগে,O
Sentence: 160,যতদিন,O
,বাচি,O
,আছি,O
,ততদিন,O
,তোর,O
,কথা,O
,রাখুম,O
Sentence: 161,যত,O
,কষ্ট,O
,অক,O
,সব,O
,মানি,O
,লমু,O
,হিয়ার,O
,হরেও,O
,তোমারেই,O
,ভালোবাসুম,O
Sentence: 162,দেখো,O
,কি,O
,সুন্দর,O
,মিষ্টি,O
,চান্দের,O
,মিষ্টি,O
,হাসি,O
Sentence: 163,হুলে,B-OBJ
,হুলে,B-OBJ
,সাজাই,O
,রাইখছি,O
,আর,O
,এ,O
,মন,O
,তুমি,O
,আইলে,O
,দুইজন,O
,মিলি,O
,সাজাইয়ুম,O
,জীবন,O
Sentence: 164,হরাশোনা,O
,করি,O
,কি,O
,অইব,O
,যদি,O
,তোয়ারে,O
,না,O
,পাওয়া,O
,যায়,O
Sentence: 165,মাইয়াগো,O
,পোস্ট,O
,অইতাছে,O
,মাছের,B-LOC
,বাজার,I-LOC
,বেকে,O
,আই,O
,ভিড়,O
,জমায়,O
Sentence: 166,হোলাগো,O
,পোস্ট,O
,অইছে,O
,সোনার,O
,দোয়ান,O
,হেটার,O
,লাই,O
,কম,O
,লোক,O
,ইয়ানে,O
,আইয়ে,O
Sentence: 167,ইইত্তিদিন,O
,ঘুমাইবার,O
,আগে,O
,মনে,O
,মনে,O
,ভাবি,O
,যাই,O
,হোক,O
,বিয়া,O
,কইরবার,O
,আরুগ্গা,O
,দিন,O
,আগাই,O
,আইছে,O
Sentence: 168,বিয়াত,O
,হোলাহক্ক,B-REL
,দাবি,O
,কইচ্ছে,O
,দুগা,O
,স্বর্নের,B-OBJ
,জিনিস,I-OBJ
,মাইয়,B-REL
,হক্ক,I-REL
,রাজি,O
,অই,O
,গেছে,O
Sentence: 169,এ,O
,সময়ে,O
,প্রেমহীন,O
,মানুষ,O
,খুজি,O
,হাওআ,O
,কইষ্ট,O
,কর,O
Sentence: 170,মিষ্টি,O
,হাসি,O
,দি,O
,কতা,O
,কই,O
,হাগল,O
,করি,O
,দিলা,O
Sentence: 171,তোয়ারে,O
,লই,O
,আরাই,O
,যাইয়ুম,O
,আকাশোর,O
,নিলে,O
Sentence: 172,চলোনা,O
,কিছু,O
,না,O
,মানি,O
,ভালোবাসি,O
Sentence: 173,চলো,O
,দুইজন,O
,মিলি,O
,সুখের,O
,পৃথিবীর,B-LOC
,সাজাই,O
Sentence: 174,তোয়ারে,O
,লই,O
,আর,O
,সব,O
,কল্পনা,O
Sentence: 175,তোয়ারে,O
,রিদয়ে,O
,রাখুম,O
,সারাজীবন,O
Sentence: 176,তুউই,O
,যদি,O
,কই,O
,বৃষ্টি,O
,অইয়ুম,O
,আইজ,O
Sentence: 177,চলো,O
,দুইজন,O
,মিলি,O
,আত,O
,ধরি,O
,আরাই,O
Sentence: 178,তোয়ারে,O
,ছুই,O
,দিবার,O
,লাই,O
,চাই,O
,অনুমুতি,O
Sentence: 179,এ,O
,ছবির,O
,বেগগুন,O
,গান,O
,মেলা,O
,প্রিয়,O
,আছিলো,O
,অনো,O
,আছে,O
Sentence: 180,সইত্য,O
,ভালোবাসা,O
,হারেনা,O
,মিথ্যাআন,O
,হারি,O
,যায়,O
Sentence: 181,এয়ান,O
,হেই,O
,সোনালী,O
,যুগের,O
,প্রাচীন,O
,গান,O
,যে,O
,গান,O
,হুইনলে,O
,বুকআন,O
,ভরি,O
,যায়,O
Sentence: 182,যতবার,O
,দেই,O
,ততবার,O
,ভালা,O
,লাগে,O
,মৌসুমিরে,B-PER
,এই,O
,গানে,O
,ভালা,O
,লাগের,O
Sentence: 183,অনো,O
,ভালা,O
,লাগে,O
,গান,O
,আন,O
Sentence: 184,কালা,B-COL
,আর,O
,লাল,B-COL
,শাড়িতে,B-OBJ
,মৌসুমীকে,B-PER
,অসম্ভব,O
,সুন্দর,O
,লাগে,O
Sentence: 185,মনে,O
,হড়ি,O
,যায়,O
,আর,O
,ভালোবাসার,O
,মানুষ,O
,আনের,O
,কতা,O
Sentence: 186,গান,O
,আন,O
,হুইনলেই,O
,পুরান,O
,ইতিহাস,O
,এর,O
,কতা,O
,মনে,O
,হড়ে,O
Sentence: 187,এই,O
,ছবির,O
,বেক,O
,গানগুন,O
,মেলা,O
,সুন্দর,O
Sentence: 188,বেক,O
,সময়,O
,গান,O
,গুলো,O
,হুন,O
,তে,O
,ভালা,O
,লাগে,O
Sentence: 189,মৌসুমী,B-PER
,আপাকে,O
,বলছি,O
,এরকম,O
,একখান,O
,ছবি,O
,আমগোরে,O
,উপহার,O
,দেয়,O
Sentence: 190,মৌসুমী,B-PER
,আসলেই,O
,মেলা,O
,সুন্দরী,O
,আই,O
,কাছ,O
,থেকে,O
,দেখি,O
,আসছি,O
Sentence: 191,একদিন,O
,দেইয়ের,O
,পিতিবির,B-LOC
,মায়া,O
,ছাড়ি,O
,চলি,O
,জাইয়ুম,O
,পারাপারে,O
Sentence: 192,চোক,O
,এইগা,O
,মেললেই,O
,দেখি,O
,তোমারে,O
,চোক,O
,বুঝলেই,O
,পাই,O
,আরো,O
,কাছে,O
Sentence: 193,আরো,O
,বেশি,O
,ভালো,O
,বাসা,O
,দিতে,O
,চাই,O
Sentence: 194,এই,O
,গান,O
,এত,O
,প্রিয়,O
,এখনও,O
,শুনি,O
,মেলা,O
,সুন্দর,O
,একখান,O
,অনুভুতি,O
,কাম,O
,করে,O
Sentence: 195,যৌবনে,O
,আসার,O
,আগেই,O
,তাকে,O
,বালা,O
,বাসছিলাম,O
,আবার,O
,যৌবনে,O
,শেষ,O
,হবার,O
,পরেও,O
,তাকেই,O
,ভালো,O
,বাসবো,O
Sentence: 196,সাত,O
,বছর,O
,পর,O
,খুঁজি,O
,পাইসি,O
,আমার,O
,প্রিয়,O
,গান,O
,অন,O
Sentence: 197,জীবনে,O
,অনেক,O
,গান,O
,হুনি,O
,তারপর,O
,ও,O
