Sentence #,barishal_word,bio_tag
,আক্সের,O
,অপমান,O
,হিরে,O
Sentence: 25,হ্যার,O
,বই,B-OBJ
,পড়তে,O
,এক্কালেই,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 26,আমনের,O
,কি,O
,বই,B-OBJ
,পড়ার,O
,অভ্যাস,O
,আছে,O
Sentence: 27,তুমি,O
,কি,O
,মোরে,O
,চেনো,O
Sentence: 28,মুই,O
,তোমারে,O
,চেনতে,O
,পারলাম,O
,না,O
Sentence: 29,মুই,O
,তোমারে,O
,আগে,O
,কহনো,O
,দেহি,O
,নাই,O
Sentence: 30,মোর,O
,পড়াল্যাহা,O
,করতে,O
,এক্কালেই,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 31,আমনের,O
,পড়াল্যাহা,O
,করা,O
,দরকার,O
Sentence: 32,আমনের,O
,পড়াল্যাহা,O
,করতে,O
,হইবে,O
Sentence: 33,আমনের,O
,কি,O
,পড়াল্যাহা,O
,করতে,O
,এক্কালেই,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 34,তোর,O
,পড়াল্যাহা,O
,করতে,O
,হইবে,O
Sentence: 35,তুই,O
,কি,O
,আর,O
,পড়াল্যাহা,O
,করবি,O
,না,O
Sentence: 36,তুই,O
,কি,O
,পড়াল্যাহা,O
,ছাইড়া,O
,দেতে,O
,চাও,O
Sentence: 37,তোর,O
,কি,O
,পড়াল্যাহা,O
,করতে,O
,এক্কালেই,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 38,তুমি,O
,কি,O
,এহন,O
,খাইতে,O
,ববা,O
Sentence: 39,আইজগো,O
,মোর,O
,খাইতে,O
,ভালো,O
,লাগতেয়াছে,O
,না,O
Sentence: 40,মোর,O
,ইসকুলে,B-ORG
,ম্যালা,O
,দোস্তো,B-REL
,আছে,O
Sentence: 41,মোর,O
,ছোডো,B-REL
,বুইন,I-REL
,ইসকুলে,B-ORG
,যাইতে,O
,চায়,O
,না,O
Sentence: 42,মোর,O
,ইসকুলে,B-ORG
,যাইতে,O
,বেমালা,O
,ভালো,O
,লাগে,O
Sentence: 43,হ্যায়,O
,হ্যার,O
,গেরামের,B-LOC
,এউক্কা,O
,ইসকুলে,B-ORG
,পড়াল্যাহা,O
,করে,O
Sentence: 44,হ্যায়,O
,ইসকুলে,B-ORG
,যাইতে,O
,চায়,O
,না,O
Sentence: 45,হ্যার,O
,ইসকুলে,B-ORG
,যাইয়া,O
,পড়াল্যাহা,O
,করতে,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 46,হ্যায়,O
,ইসকুলে,B-ORG
,যাইয়া,O
,দোস্তোগো,B-REL
,লগে,O
,কেচ্ছা,O
,করে,O
Sentence: 47,হ্যায়,O
,ইস্কুলের,B-LOC
,মাডে,I-LOC
,পেরতেকদিন,O
,ক্রিকেট,O
,খেলে,O
Sentence: 48,হ্যায়,O
,ইশকুলের,B-LOC
,মাডে,I-LOC
,মাথা,O
,ঘুরাইয়া,O
,পইড়া,O
,গ্যাল্লেহ,O
Sentence: 49,হ্যায়,O
,ম্যালা,O
,দিন,O
,আগে,O
,হ্যার,O
,ইশকুলের,B-ORG
,এউক্কা,O
,মাইয়ারে,O
,ভালোবাসতো,O
Sentence: 50,পোলাডা,O
,হ্যার,O
,গেরামের,B-LOC
,ছোডো,O
,এউক্কা,O
,ইসকুল,B-ORG
,হইতে,O
,পড়াল্যাহা,O
,কইররা,O
,মেটটিক,O
,পাশ,O
,করছে,O
Sentence: 51,তোমাগো,O
,বাড়ি,O
,কোম্মে,O
Sentence: 52,ঢাহা,B-LOC
,বাংলাদেশের,B-LOC
,রাজধানী,O
Sentence: 53,তুমি,O
,কি,O
,মোর,O
,লগে,O
,পেরেম,O
,করবা,O
Sentence: 54,মুই,O
,আইজগো,O
,বেইননা,O
,কালে,O
,ফুটবল,B-OBJ
,খেলছি,O
Sentence: 55,মুই,O
,তোমার,O
,মনের,O
,কথা,O
,বোঝতে,O
,পারি,O
,না,O
Sentence: 56,তোমার,O
,লইজ্ঞা,O
,মোর,O
,বেমালা,O
,কষ্ট,O
,হয়,O
Sentence: 57,মোগো,O
,হপোন,O
,ম্যালা,O
,বড়,O
Sentence: 58,‍কমবয়সী,O
,এউক্কা,O
,পোলা,O
,বায়রায়,O
,ফুডপাতে,B-LOC
,দৌড়াইতেয়াছে,O
Sentence: 59,এউক্কা,O
,ল্যাদা,O
,গেদু,O
,বিছনায়,B-OBJ
,লাফাইয়া,O
,ওঠছে,O
Sentence: 60,এউক্কা,O
,পোলা,O
,বিছনায়,B-OBJ
,লাফাইতেয়াছে,O
Sentence: 61,এউক্কা,O
,পোলা,O
,এউক্কা,O
,বিছনা,B-OBJ
,গোনে,O
,আর,O
,এউক্কা,O
,বিছানায়,B-OBJ
,লাপ,O
,দেতেয়াছে,O
Sentence: 62,এউক্কা,O
,ছোডো,O
,গেদু,O
,ফুডপাতে,B-LOC
,হাটতেয়াছে,O
Sentence: 63,মুই,O
,এউক্কা,O
,পোলা,O
Sentence: 64,মুই,O
,এউক্কা,O
,মাইয়া,O
Sentence: 65,মোর,O
,জামাই,B-REL
,মোরে,O
,বেমালা,O
,ভালোবাসে,O
Sentence: 66,ইসকুল,B-ORG
,সময়,O
,হইতে,O
,হ্যাগো,O
,পেরেম,O
,আল্লেহ,O
Sentence: 67,মুই,O
,বিয়া,O
,করছি,O
,দশ,O
,বছর,O
,হইছে,O
Sentence: 68,বেমালা,O
,ভালো,O
,ছবি,O
Sentence: 69,ম্যালাদিন,O
,পরে,O
,এউক্কা,O
,ভালো,O
,ছবি,O
,দেখলাম,O
Sentence: 70,বেমালা,O
,ভালো,O
,ল্যাখছেন,O
Sentence: 71,ম্যালাদিন,O
,পরে,O
,এউক্কা,O
,ভালো,O
,ল্যাহা,O
,পড়লাম,O
Sentence: 72,বেমালা,O
,মাথা,O
,ব্যাথা,O
,করতেয়াছেলে,O
Sentence: 73,কিছুই,O
,বোঝতে,O
,পারলাম,O
,না,O
Sentence: 74,হ্যায়,O
,এইডা,O
,দেইখ্যা,O
,গেয়ান,O
,হারাইয়া,O
,ফালাইছে,O
Sentence: 75,এক,O
,কথায়,O
,ম্যালা,O
,সুন্দর,O
,লাগতেয়াছে,O
,আমনেরে,O
Sentence: 76,আমনের,O
,ছবির,B-OBJ
,চাইতে,O
,আমনে,O
,বাস্তবে,O
,বেমালা,O
,সুন্দর,O
Sentence: 77,আমনের,O
,হাসির,O
,সামনে,O
,বেবাক,O
,কিছু,O
,হার,O
,মাইন্না,O
,যায়,O
Sentence: 78,আমনের,O
,চউখ,O
,বেমালা,O
,সুন্দর,O
Sentence: 79,আমনের,O
,লগে,O
,পরিচিত,O
,হইয়া,O
,ভালো,O
,লাগছে,O
Sentence: 80,ম্যালাদিন,O
,পর,O
,আমনেরে,O
,দেখলাম,O
Sentence: 81,দুই,O
,ভাইগো,B-REL
,মইধ্যে,O
,জাগা,O
,জমি,O
,লইয়া,O
,কাইজ্জা,O
,হয়,O
Sentence: 82,পরে,O
,এউক্কা,O
,ভাই,B-REL
,কুয়েত,B-LOC
,চইল্যা,O
,যায়,O
,আর,O
,এউক্কা,O
,ভাই,B-REL
,সুদান,B-LOC
,চইল্যা,O
,যায়,O
Sentence: 83,কয়দিন,O
,পরে,O
,সুদান,B-LOC
,দিয়া,O
,আসা,O
,ব্যাডা,O
,বিয়া,O
,করেন,O
Sentence: 84,মোবাইল,B-OBJ
,থুইয়া,O
,বাথরুমে,O
,গ্যালে,O
,মনে,O
,হয়,O
,জরুলি,O
,কাগজ,B-OBJ
,থুইয়া,O
,অপিসে,B-ORG
,বইইয়া,O
,আছি,O
Sentence: 85,যাগো,O
,খামার,O
,দেওয়া,O
,হইছে,O
,হ্যারা,O
,দয়া,O
,কইরা,O
,লাইন,O
,দিয়া,O
,সৈররা,O
,যান,O
Sentence: 86,পাছে,O
,এহনও,O
,বেমালা,O
,মানু,O
,লাইনে,O
,খারাইয়া,O
,আছে,O
Sentence: 87,হ্যাগো,O
,খামার,O
,দেওয়ার,O
,সুযোগ,O
,কইরা,O
,দ্যান,O
Sentence: 88,বেমালা,O
,কিছু,O
,কমু,O
,না,O
,কারণ,O
,আবেগে,O
,চোখে,O
,পানি,O
,চইল্যা,O
,আইছে,O
Sentence: 89,তুমি,O
,কইছো,O
,যে,O
,থাহার,O
,হ্যায়,O
,এমনিতেই,O
,থাকবে,O
Sentence: 90,পোরথমে,O
,আমনেরে,O
,এউক্কা,O
,দোকানে,O
,যাইতে,O
,হইবে,O
Sentence: 91,নিজের,O
,পছন্দের,O
,বিয়ায়,O
,বাপ,B-REL
,মায়রে,B-REL
,রাজি,O
,করাইন্না,O
,হইছে,O
Sentence: 92,মাইয়ডা,O
,লাল,B-COL
,শাড়ি,B-OBJ
,পইররা,O
,খারাইয়া,O
,আছে,O
Sentence: 93,বউয়ের,B-REL
,লইজ্ঞা,O
,আর,O
,দোস্তোগো,B-REL
,মাঝে,O
,মুখ,O
,দ্যাহাইন্নার,O
,উপায়,O
,নাই,O
Sentence: 94,মোরে,O
,বেবাকের,O
,সামনে,O
,মারতে,O
,মারতে,O
,বাসায়,O
,লইয়া,O
,আহে,O
Sentence: 95,মুই,O
,জানি,O
,এইহানে,O
,বেমালা,O
,মাইয়া,O
,কমেন্ট,O
,পড়তে,O
,আইবে,O
Sentence: 96,মাঝে,O
,মইধ্যে,O
,মনে,O
,কয়,O
,বাসাবাড়ি,O
,সব,O
,মাশার,B-ANI
,নামে,O
,লেইখ্যা,O
,দিয়া,O
,মুই,O
,জঙ্গলে,B-LOC
,চইল্যা,O
,যাই,O
Sentence: 97,তোমার,O
,হইয়া,O
,আছি,O
,মুই,O
,তোমার,O
,হইয়াই,O
,থাকমু,O
Sentence: 98,সারা,O
,জীবন,O
,তোমারে,O
,মুই,O
,ভালোবাইসা,O
,যামু,O
Sentence: 99,পাশে,O
,থাইকো,O
,সারা,O
,জীবন,O
,দূরে,O
,যাইয়ো,O
,না,O
Sentence: 100,তোমারে,O
,ছাড়া,O
,এক্কালেই,O
,মোর,O
,ভালো,O
,লাগে,O
,না,O
Sentence: 101,কাউরে,O
,আবেগের,O
,ভালোবাসা,O
,দিও,O
,না,O
,মনের,O
,ভালোবাসা,O
,দিও,O
Sentence: 102,কারন,O
,আবেগের,O
,ভালোবাসা,O
,এউক্কা,O
,দিনের,O
,বিবেকের,O
,ধারে,O
,ঠইজ্ঞা,O
,যাইবে,O
Sentence: 103,কি,O
,কইরা,O
,বুঝামু,O
,হ্যারে,O
,মুই,O
,কতডা,O
,ভালোবাসি,O
Sentence: 104,ম্যালাদিন,O
,পর,O
,তোমারে,O
,দেখলাম,O
Sentence: 105,তোমারে,O
,দেইখ্যা,O
,থমকে,O
,খারাইয়া,O
,আল্লাহম,O
Sentence: 106,মুই,O
,বেমালা,O
,কষ্টে,O
,মোরে,O
,সামলাইয়া,O
,নিছি,O
Sentence: 107,যহন,O
,তুমি,O
,মোরে,O
,দেইখ্যা,O
,না,O
,দেহার,O
,ভান,O
,করছো,O
,তহন,O
,মোর,O
,মজা,O
,লাগছে,O
Sentence: 108,তোমারে,O
,হেই,O
,অনুভূতির,O
,কথা,O
,কইয়া,O
,বুঝাইতে,O
,পারমু,O
,না,O
Sentence: 109,তোমারে,O
,ম্যালা,O
,মনে,O
,পড়ছে,O
,দিমু,O
,তোমারে,O
,লাল,B-COL
,গোলাপ,B-OBJ
Sentence: 110,মোর,O
,জীবনে,O
,কেউ,O
,নাই,O
,তুমি,O
,ছাড়া,O
Sentence: 111,মোর,O
,জীবনে,O
,কোনো,O
,স্বপ্ন,O
,নাই,O
,তুমি,O
,ছাড়া,O
Sentence: 112,মোর,O
,দুজ্ঞা,O
,চোউখ,O
,কিছু,O
,খোঁজেনা,O
,তোমারে,O
,ছাড়া,O
Sentence: 113,যহন,O
,মাইয়া,O
,বোঝে,O
,তহন,O
,পোলা,O
,বোঝে,O
,না,O
Sentence: 114,তুমি,O
,খালি,O
,মনে,O
,রাইখো,O
,মোরে,O
,হগল,O
,সময়,O
Sentence: 115,চোখের,O
,পানি,O
,মুইচ্ছা,O
,দিমু,O
,তোমারে,O
,হাসি,O
Sentence: 116,হেইতে,O
,মুই,O
,দোস্তো,B-REL
,তোমারে,O
,বেমালা,O
,ভালোবাসি,O
Sentence: 117,বেমালা,O
,সুন্দর,O
,তুমি,O
,পেরেমে,O
,পড়ছি,O
,মুই,O
Sentence: 118,পোলারা,O
,ভালোবাসার,O
,নাটক,O
,করতে,O
,করতে,O
,যে,O
,কহন,O
,আসলেই,O
,ভালোবাইসা,O
,হালায়,O
,হ্যারা,O
,হেইয়া,O
,নিজেও,O
,জানেনা,O
Sentence: 119,মাইয়ারা,O
,ভালোবাসতে,O
,বাসতে,O
,যে,O
,কহন,O
,আসলেই,O
,অভিনয়,O
,শুরু,O
,করে,O
,হ্যারা,O
,হেইয়া,O
,নিজেও,O
,জানেনা,O
Sentence: 120,এই,O
,পিরথিবিতে,B-LOC
,পছন্দের,O
,মানুগুলা,O
,থুইয়া,O
,বাইচ্চা,O
,থাহাডা,O
,তয়,O
,অসম্ভব,O
,কিছুই,O
,না,O
Sentence: 121,কারও,O
,লইজ্ঞা,O
,কারো,O
,জীবন,O
,থাইম্মা,O
,থাহে,O
,না,O
Sentence: 122,কাউরে,O
,বেমালা,O
,ভালোবাসার,O
,মধ্যে,O
,এক,O
,রহমের,O
,দুর্বলতা,O
,আছে,O
Sentence: 123,পোলা,O
,আর,O
,মাইয়া,O
,দোস্তো,B-REL
,হইতে,O
,পারে,O
,তয়,O
,হ্যারা,O
,ঠিকই,O
,একজন,O
,আর,O
,একজনের,O
,পেরেমে,O
,পড়বে,O
Sentence: 124,পোলাগো,O
,লইজ্ঞা,O
,পিরথিবিতে,B-LOC
,সব,O
,চাইতে,O
,দামী,O
,হইলো,O
,মাইয়াগো,O
,হাসি,O
Sentence: 125,তোমারে,O
,দুই,O
,চোখ,O
,ভইরা,O
,দ্যাহা,O
,এহনও,O
,বাকি,O
Sentence: 126,তোমার,O
,কাছে,O
,যাইয়া,O
,জাবরাইয়া,O
,ধরা,O
,বাকি,O
Sentence: 127,মোর,O
,অনেক,O
,শিত,O
,লাগতেয়াছে,O
Sentence: 128,মোর,O
,মন,O
,খারাপ,O
Sentence: 129,আমনের,O
,কি,O
,মন,O
,খারাপ,O
Sentence: 130,তোমার,O
,কি,O
,মন,O
,খারাপ,O
Sentence: 131,আব্বা,B-REL
,মোর,O
,লইজ্ঞা,O
,লাল,B-COL
,জামা,B-OBJ
,কিন্যা,O
,আনছে,O
Sentence: 132,মোর,O
,দোস্তো,B-REL
,মোরে,O
,লাল,B-COL
,শাড়ি,B-OBJ
,কিন্যা,O
,দেছে,O
Sentence: 133,মোর,O
,দোস্তো,B-REL
,মোরে,O
,একডা,O
,লাল,B-COL
,গোলাপ,B-OBJ
,কিনে,O
,দেছে,O
Sentence: 134,মোর,O
,মা,B-REL
,মোরে,O
,লইয়া,O
,পার্কে,B-LOC
,ঘোরতে,O
,যাইবে,O
Sentence: 135,যেই,O
,ভালোবাসা,O
,যতো,O
,গোপন,O
,হেই,O
,ভালোবাসা,O
,হ্যাতো,O
,গভীর,O
Sentence: 136,ভালোবাসা,O
,পাওয়ার,O
,চাইয়া,O
,ভালোবাসা,O
,দেওয়াতেই,O
,বেমালা,O
,সুখ,O
Sentence: 137,তুমি,O
,যদি,O
,কাউরে,O
,ভালোবাসো,O
,হ্যালে,O
,হ্যারে,O
,ছাইড়া,O
,দেও,O
Sentence: 138,যদি,O
,হ্যায়,O
,তোমার,O
,ধারে,O
,ফিররা,O
,আহে,O
,হ্যালে,O
,হ্যায়,O
,তোমারি,O
,আল্লেহ,O
Sentence: 139,আর,O
,হ্যায়,O
,যদি,O
,ফিররা,O
,না,O
,আহে,O
,হ্যালে,O
,হ্যায়,O
,কহনোই,O
,তোমার,O
,আআল্লেহ,O
,না,O
Sentence: 140,যহন,O
,কোনো,O
,ব্যাডা,O
,কোনো,O
,বেডিরে,O
,ভালবাসে,O
,তহন,O
,হ্যায়,O
,হ্যার,O
,লইজ্ঞা,O
,বেবাক,O
,কিছু,O
,করতে,O
,পারে,O
Sentence: 141,মোহে,O
,মোহে,O
,বেবাক,O
,সময়,O
,ভালোবাসি,O
,ভালবাসি,O
,কওয়ার,O
,চাইয়া,O
,মোর,O
,মনে,O
,হয়,O
,ভালোবাসার,O
,মানুডারে,O
,জানতে,O
,পারা,O
,বেমালা,O
,বড়,O
,বিষয়,O
Sentence: 142,ভালোবাসা,O
,মানে,O
,নিজেগো,O
,জানতে,O
,পারে,O
Sentence: 143,মুই,O
,যে,O
,মানুডারে,O
,ভালবাসমু,O
,হ্যারে,O
,যদি,O
,না,O
,বোঝতে,O
,পারি,O
,হ্যালে,O
,হেই,O
,পেরেমের,O
,কোনো,O
,মানে,O
,আছে,O
,বইলা,O
,মনে,O
,হয়,O
,না,O
Sentence: 144,নিজে,O
,অসুখী,O
,হইয়া,O
,অন্যরে,O
,ভালোবাইসা,O
,সুখী,O
,করা,O
,যায়না,O
Sentence: 145,কেউ,O
,আমনের,O
,জীবনে,O
,সুখ,O
,আইনা,O
,দেবে,O
,ভাইবা,O
,কারো,O
,লগে,O
,পেরেমে,O
,জরাইবেন,O
,না,O
Sentence: 146,আমনে,O
,কারো,O
,জীবনে,O
,সুখ,O
,আইনা,O
,দেবেন,O
,ভাইবা,O
,পেরেম,O
,করেন,O
Sentence: 147,সত্য,O
,ভালোবাসা,O
,খালি,O
,ভালোবাসার,O
,মানুডারে,O
,সুখী,O
,করতে,O
,চায়,O
,হ্যার,O
,থাইকা,O
,কোনো,O
,কিছু,O
,আশা,O
,করে,O
,না,O
Sentence: 148,ভালোবাসা,O
,মানে,O
,কাউরে,O
,জেতা,O
,না,O
,উলডা,O
,নিজেই,O
,কারো,O
,লইজ্ঞা,O
,ঠইগা,O
,যাওয়া,O
Sentence: 149,আমনে,O
,কহনোই,O
,পারবেন,O
,না,O
,অন্য,O
,কারোর,O
,ভালোবাসারে,O
,ছিনাইয়া,O
,লইতে,O
,বা,O
,জোর,O
,কইরা,O
,আর,O
,একজনের,O
,ভালো,O
,লাগার,O
,মানু,O
,হইতে,O
Sentence: 150,চোখের,O
,সামনে,O
,যাগো,O
,দেখছেন,O
,হ্যাগো,O
,কাইলগো,O
,বেইননাকালে,O
,আর,O
,দ্যাখতে,O
,পাইবেন,O
,নিহি,O
,হ্যার,O
,কোনো,O
,ঠিক,O
,নাই,O
Sentence: 151,ভালো,O
,লাগে,O
,তোমার,O
,হেই,O
,কাজল,B-OBJ
,কালো,B-COL
,চোউখ,O
Sentence: 152,তোমার,O
,মনের,O
,কথা,O
,আইজ,O
,মোরে,O
,খুইল্লা,O
,কও,O
Sentence: 153,মোর,O
,হাতটা,O
,ধইরা,O
,সামনের,O
,দিক,O
,আউজ্ঞাইয়া,O
,লও,O
,পিছে,O
,ঘুইররা,O
,আর,O
,মোরা,O
,দেখমু,O
,না,O
Sentence: 154,গোলাপ,B-OBJ
,ফুল,I-OBJ
,দিমু,O
,মুই,O
,তোমার,O
,হাতে,O
Sentence: 155,এই,O
,মন,O
,আইজ,O
,তোমারে,O
,দিলাম,O
Sentence: 156,তোমার,O
,হেই,O
,মোন,O
,মুই,O
,নিয়া,O
,নিলাম,O
Sentence: 157,হাজার,O
,কথার,O
,মইধ্যে,O
,এউক্কা,O
,মনের,O
,কথা,O
,পলাইয়া,O
,থাহে,O
Sentence: 158,বেবাক,O
,কথা,O
,মোহে,O
,কইয়া,O
,দেওয়া,O
,যায়না,O
Sentence: 159,হাজার,O
,কথার,O
,মইধ্যে,O
,হেই,O
,এউক্কা,O
,কথা,O
,বুইঝ্যা,O
,লইতে,O
,হয়,O
Sentence: 160,যতদিন,O
,বাইচ্চা,O
,থাহি,O
,তোমারে,O
,মনে,O
,রাখমু,O
Sentence: 161,যত,O
,কষ্ট,O
,হোউক,O
,বেবাক,O
,মাইনা,O
,নিমু,O
,হেইরপরেও,O
,হারাজীবন,O
,তোমারেই,O
,ভালোবাসমু,O
Sentence: 162,দ্যাহো,O
,কত,O
,সুন্দর,O
,মিষ্টি,O
,চাঁন্দের,O
,মিষ্টি,O
,আলো,O
Sentence: 163,ফুলে,B-OBJ
,ফুলে,B-OBJ
,সাজাইয়া,O
,রাখছি,O
,মোর,O
,এই,O
,মোন,O
,তুমি,O
,আইলে,O
,দুইজন,O
,মিল্লা,O
,সাজামু,O
,জীবন,O
Sentence: 164,পড়াল্যাহা,O
,কইররা,O
,কি,O
,হইবে,O
,যদি,O
,তোমারেই,O
,না,O
,পাই,O
Sentence: 165,মাইয়াগো,O
,পোস্ট,O
,হইতেয়াছে,O
,মাছের,B-LOC
,বাজার,I-LOC
,হগলডি,O
,আইয়া,O
,ভীর,O
,করে,O
Sentence: 166,পোলাগো,O
,পোস্ট,O
,হইতেয়াছে,O
,সোনার,O
,দোকান,O
,হেইহার,O
,লইজ্ঞা,O
,কম,O
,লোকই,O
,এহানে,O
,আহে,O
Sentence: 167,পেরতেক,O
,দিন,O
,ঘুমাইয়া,O
,পড়ার,O
,আগে,O
,ভাবি,O
,যাই,O
,হউক,O
,বিয়া,O
,করার,O
,আর,O
,এউক্কা,O
,দিন,O
,আগাই,O
,আইছে,O
Sentence: 168,বিয়াতে,O
,পোলাগো,B-REL
,পক্ষ,I-REL
,দাবি,O
,করছেলে,O
,দুজ্ঞা,O
,সোনার,B-OBJ
,জিনিস,I-OBJ
,চাই,O
,মাইয়া,B-REL
,পক্ষ,I-REL
,হেইয়াতেই,O
,রাজি,O
,হইয়া,O
,গ্যালো,O
Sentence: 169,এই,O
,সময়ে,O
,পেরেম,O
,ছাড়া,O
,মানু,O
,খুঁইজ্জা,O
,পাওয়াটা,O
,অসম্ভব,O
Sentence: 170,মিষ্টি,O
,হাসি,O
,দিয়া,O
,কথা,O
,কইয়া,O
,পাগল,O
,কইরা,O
,দেলে,O
Sentence: 171,তোমারে,O
,লইয়া,O
,হারাইয়া,O
,যামু,O
,আকাশের,O
,নীলে,O
Sentence: 172,লও,O
,কিছু,O
,না,O
,মাইনা,O
,ভালোবাসি,O
Sentence: 173,লও,O
,দুইজন,O
,মিল্লা,O
,সুখের,O
,পীরথিবী,B-LOC
,সাজাই,O
Sentence: 174,তোমারে,O
,লইয়া,O
,মোর,O
,হগল,O
,ভাবনা,O
Sentence: 175,তোমারে,O
,মোনে,O
,রাখমু,O
,বেবাক,O
,সময়,O
Sentence: 176,তুমি,O
,যদি,O
,চাও,O
,বইশ্যা,O
,হইবে,O
,আইজগো,O
Sentence: 177,লও,O
,দুইজন,O
,হাত,O
,ধইরা,O
,হারামু,O
Sentence: 178,তোমারে,O
,ছুইয়া,O
,দেতে,O
,চাই,O
,অনুমতি,O
Sentence: 179,এই,O
,ছবির,O
,বেবাক,O
,গান,O
,বেমালা,O
,পছন্দ,O
,আল্লেহ,O
,আর,O
,এহনো,O
,আছে,O
Sentence: 180,সত্যের,O
,ভালবাসা,O
,হারে,O
,না,O
,মিছা,O
,ভালোবাসা,O
,ঠইগা,O
,যায়,O
Sentence: 181,এই,O
,হেই,O
,সোনালী,O
,যুগের,O
,হেই,O
,পুরান,O
,গান,O
,যে,O
,গান,O
,হুনলে,O
,বুকটা,O
,ভইরা,O
,যায়,O
Sentence: 182,যতবার,O
,দেহি,O
,ততোবার,O
,ভালো,O
,লাগে,O
,মৌসুমীরে,B-PER
,গানডায়,O
,বেমালা,O
,সুন্দর,O
,লাগতেয়াছে,O
Sentence: 183,এহনও,O
,ভালো,O
,লাগে,O
,গানডা,O
Sentence: 184,কালা,B-COL
,আর,O
,লাল,B-COL
,শাড়িতে,B-OBJ
,মৌসুমী,B-PER
,আফা,O
,রে,O
,বেমালা,O
,সুন্দর,O
,লাগে,O
Sentence: 185,মনে,O
,পইড়া,O
,যায়,O
,মোর,O
,ভালোবাসার,O
,মানুডার,O
,কথা,O
Sentence: 186,গানডা,O
,হুনলেই,O
,পুরান,O
,কথা,O
,মনে,O
,পড়ে,O
Sentence: 187,এই,O
,ছবির,O
,বেবাক,O
,গানগুলা,O
,বেমালা,O
,সুন্দর,O
Sentence: 188,হগোল,O
,সময়,O
,গানগুলা,O
,বেমালা,O
,ভালো,O
,লাগে,O
,হোনতে,O
Sentence: 189,মৌসুমী,B-PER
,আফারে,O
,কইছি,O
,এইরহম,O
,এউক্কা,O
,ছবি,O
,মোগো,O
,আবার,O
,উপহার,O
